,"Cinema, Spectators per inhabitant, No., 2022","Cinema, Occupancy rate, %, 2022","Art facilities, Rooms average capacity  , No., 2021","Live shows, Spectators per inhabitant, No., 2022","Live shows, Mean value of tickets sold, €, 2022","Periodical publications Ʇ , Proportion of copies offered , %, 2022"
Vila Real,x,x,359.8,2.1,5.9,…
Terras de Trás-os-Montes,0.1,16.1,244.7,0.5,6,93.5
Alfândega da Fé,x,x,213,ә,//,//
Bragança,x,x,162.5,0.7,6.2,83.9
Macedo de Cavaleiros,x,x,302,…,…,…
Miranda do Douro,x,x,60,0.3,//,//
Mirandela,x,x,//,0.4,5,…
Mogadouro,x,x,499,…,…,//
Vila Flor,x,x,300,0.4,//,//
Vimioso,x,x,169,…,…,…
Vinhais,x,x,//,…,…,…
Centro,0.6,7.8,323.2,1.5,17.4,57.8
Oeste,0.5,11,537.2,0.6,8.7,83.4
Alcobaça,x,x,//,0.8,8.6,6.9
Alenquer,x,x,//,0.8,9.5,…
Arruda dos Vinhos,x,x,1555.5,…,…,…
Bombarral,x,x,//,…,…,//
Cadaval,x,x,170,…,…,//
Caldas da Rainha,x,x,405,0.5,11.9,19.7
Lourinhã,x,x,121,0.6,15,…
Nazaré,x,x,366,0.1,10.2,//
Óbidos,x,x,350,0.1,9.8,…
Peniche,x,x,//,…,…,…
Sobral de Monte Agraço,x,x,219,0.5,8.1,//
Torres Vedras,x,x,412,0.6,6,…
Região de Aveiro,0.5,10,354.3,1,11.3,19.7
Águeda,x,x,337,0.6,10.3,…
Albergaria-a-Velha,x,x,341.5,0.4,9.4,…
Anadia,x,x,268,0.1,35.4,//
Aveiro,x,x,308.3,1.8,14.3,10.5
Estarreja,x,x,704,1.4,8.7,4.9
Ílhavo,x,x,308.8,1.2,6.2,44.4
Murtosa,x,x,//,…,…,…
Oliveira do Bairro,x,x,415,0.9,7.1,…
Ovar,x,x,340,0.3,9.8,88.5
Sever do Vouga,x,x,300,…,…,//
Vagos,x,x,176,0,//,…
Região de Coimbra,0.8,7.6,408.2,2.1,9.9,20.1
Arganil,x,x,252,1.3,6.4,//
Cantanhede,x,x,500,0.9,6.2,…
Coimbra,x,x,330.9,2.5,12.1,17.7
Condeixa-a-Nova,x,x,//,5.4,7.1,…
Figueira da Foz,x,x,314.7,1.1,10.7,…
Góis,x,x,280,3.7,//,…
Lousã,x,x,//,1.4,4.2,…
Mealhada,x,x,368,0.7,11.8,…
Mira,x,x,//,0.3,5,…
Miranda do Corvo,x,x,266,0.2,11.9,…
Montemor-o-Velho,x,x,//,…,…,//
Mortágua,x,x,240,…,…,//
Oliveira do Hospital,x,x,3000,…,…,…
Pampilhosa da Serra,x,x,179,1.6,2.2,//
Penacova,x,x,199,…,…,//
Penela,x,x,//,0.1,//,//
Soure,x,x,//,…,…,…
Tábua,x,x,286,1,12,//
Vila Nova de Poiares,x,x,//,…,…,//
Região de Leiria,0.7,6.7,262.6,2,10.4,54.9
Alvaiázere,x,x,148,…,…,//
Ansião,x,x,135,0.3,15,7.9
Batalha,x,x,155,2.3,3.5,…
Castanheira de Pêra,x,x,//,…,…,//
Figueiró dos Vinhos,x,x,//,…,…,//
Leiria,x,x,385.6,1,10.9,59.3
Marinha Grande,x,x,262,3.5,6.8,…
Pedrógão Grande,x,x,165,…,…,//
Pombal,x,x,201.3,4.7,7.9,…
Porto de Mós,x,x,303.6,0.2,8.9,…
Viseu Dão Lafões,0.7,9.5,241.9,1.9,5.4,16.1
Aguiar da Beira,x,x,262.3,…,…,…
Carregal do Sal,x,x,199,1.5,4.2,//
Castro Daire,x,x,146.5,0.2,3.4,…
Mangualde,x,x,//,1.3,12,…
Nelas,x,x,398,…,…,//
Oliveira de Frades,x,x,122,2.3,3.2,//
Penalva do Castelo,x,x,//,…,…,…
