,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Aguiar da Beira,38.7,2.8,5.9,35.6,2.6,5.5
Carregal do Sal,38.9,2.8,5.8,35.6,2.6,5.2
Castro Daire,39,3,6.1,36.2,2.8,5.6
Mangualde,40.5,3.1,6.2,36.9,2.8,5.5
Nelas,40.1,3.1,6.2,36.7,2.9,5.4
Oliveira de Frades,38.5,2.9,6,35.5,2.7,5.4
Penalva do Castelo,38.7,3,6,35.8,2.8,5.4
Santa Comba Dão,39.3,2.9,5.8,35.9,2.7,5.2
São Pedro do Sul,41.3,3.1,6.7,37.9,2.9,6
Sátão,41.3,3.2,7,37.9,3,6.4
Tondela,39.6,2.9,5.8,36.2,2.7,5.2
Vila Nova de Paiva,41,3.1,7,37.6,2.9,6.4
Viseu,44.5,3.6,8.1,40.3,3.2,6.8
Vouzela,40.1,2.8,5.5,36.1,2.7,4.9
Beira Baixa,41.8,3.2,6.5,37.9,2.9,5.7
Castelo Branco,42.3,3.3,6.9,38.4,3,5.9
Idanha-a-Nova,39.3,2.8,5.6,35.6,2.6,5.1
Oleiros,39.3,2.9,5.2,36.2,2.7,4.8
Penamacor,37.3,2.7,5.4,34.1,2.5,4.9
Proença-a-Nova,40.5,3.1,6.5,37.1,2.9,5.8
Vila Velha de Ródão,37.4,2.8,5.3,34,2.6,4.6
Médio Tejo,41,3.1,6.5,37.4,2.9,5.7
Abrantes,41.1,3.1,6.4,37.4,2.9,5.5
Alcanena,39,2.8,5.8,35.6,2.6,5.1
Constância,39.1,3,6.2,35.7,2.8,5.4
Entroncamento,41.8,3.6,7.8,38.2,3.1,6.5
Ferreira do Zêzere,37.3,2.8,5.4,34.4,2.6,5
Mação,38.5,2.8,5.5,35,2.6,4.8
Ourém,40,3,6.4,36.6,2.8,5.7
