,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Castanheira de Pêra,7646,9607,12655,19360,120,492,307,218,206,89
Figueiró dos Vinhos,7331,9755,13393,21205,280,857,503,411,437,227
Leiria,8773,12071,17787,29121,5330,14334,11454,11118,14114,10827
Marinha Grande,8762,12085,17281,27488,1695,4540,3804,3840,4636,3035
Pedrógão Grande,7120,9455,12948,20273,190,609,308,277,289,111
Pombal,8122,11076,15591,24415,2311,6138,4775,4222,5083,2659
Porto de Mós,8497,11039,15455,24805,917,3034,2345,1970,2359,1304
Viseu Dão Lafões,7980,10747,15628,25675,11149,31100,21438,17910,22891,15300
Aguiar da Beira,7516,9814,13704,20793,227,699,392,386,353,169
Carregal do Sal,8143,10447,14320,22584,365,1167,818,681,730,396
Castro Daire,6591,9353,12306,19563,735,2042,1144,857,868,411
Mangualde,8184,10990,16060,25055,760,2209,1538,1324,1879,987
Nelas,8086,10780,15682,24943,539,1656,1165,979,1263,716
Oliveira de Frades,7896,10346,14232,22611,448,1323,965,719,880,442
Penalva do Castelo,7280,10006,13621,21664,329,957,625,479,563,266
Santa Comba Dão,7974,10434,14460,23221,435,1510,997,818,960,505
São Pedro do Sul,7068,9842,13407,21645,836,2153,1338,1061,1167,625
Sátão,6952,9935,13996,22426,596,1488,936,744,925,476
Tondela,8170,10941,15061,24073,1027,3171,2494,2092,2345,1263
Vila Nova de Paiva,7029,9647,13388,21489,232,604,346,279,318,179
Viseu,8457,11616,18123,30306,4229,10849,7795,6783,9799,8500
Vouzela,7980,10288,14118,22396,391,1272,885,708,841,365
Beira Baixa,8130,10889,15752,25806,3571,10660,7466,6438,7957,5275
Castelo Branco,8534,11514,17103,28139,2236,6366,4759,4284,5596,4150
Idanha-a-Nova,7395,9780,13119,20598,426,1342,849,633,694,290
Oleiros,7265,9708,12863,20903,210,815,460,359,366,186
Penamacor,7618,9985,13376,20439,214,667,452,361,354,148
Proença-a-Nova,7312,9917,14025,22682,370,1042,616,499,601,341
Vila Velha de Ródão,8517,11045,15621,23543,115,428,330,302,346,160
Médio Tejo,8059,10852,15510,25184,10324,30464,21777,18840,22035,14387
Abrantes,8129,10852,15295,25345,1461,4669,3415,2743,3283,2209
Alcanena,7954,10372,13944,21884,634,1885,1466,1117,1158,582
Constância,8886,11617,17510,27099,132,466,359,314,425,274
Entroncamento,9035,13008,20072,32091,825,1955,1593,1623,2358,2041
Ferreira do Zêzere,7592,10142,13682,21111,371,1138,785,634,701,246
Mação,8023,10177,13854,22127,266,980,660,501,539,298
Ourém,7883,10616,14953,23603,2156,5931,4188,3687,4169,2302
Sardoal,8238,10303,14067,22278,171,553,364,314,315,181
Sertã,7120,9664,12975,20716,671,2356,1378,1047,1093,560
Tomar,7683,10653,15370,25274,1923,4993,3384,3010,3366,2474
Torres Novas,8594,11401,16533,27142,1363,4239,3268,2982,3518,2512
Vila de Rei,7868,9944,14152,21489,120,522,265,273,293,109
Vila Nova da Barquinha,9175,12287,18385,29738,231,777,652,595,817,599
Beiras e Serra da Estrela,7806,10388,14664,23753,9727,29474,19362,16195,18553,11610
Almeida,7666,10571,15540,23249,298,823,505,483,644,284
Belmonte,7888,10099,13984,21527,270,881,574,472,493,265
Celorico da Beira,7435,10012,14110,22186,296,923,549,462,572,255
Covilhã,8137,10500,14640,23879,2052,6851,4643,3956,4053,2838
Figueira de Castelo Rodrigo,6591,9384,12642,20190,307,877,468,364,358,230
Fornos de Algodres,7277,9714,13182,20517,189,639,350,303,316,132
Fundão,7711,10285,14394,23019,1324,3742,2468,2095,2386,1318
Gouveia,7340,9924,13396,21592,552,1853,1151,864,948,533
Guarda,8564,11853,18143,29910,1651,4375,3235,3015,4151,3378
Manteigas,7603,9845,12774,20292,129,518,336,228,239,112
Mêda,6829,9431,12995,20455,246,718,374,319,344,164
Pinhel,6976,9631,13371,21135,454,1318,735,623,691,330
Sabugal,7095,10229,13774,21380,630,1339,1044,844,842,408
Seia,7851,10124,13756,22285,910,3373,2206,1622,1865,1023
Trancoso,7177,9756,13204,21886,419,1244,724,545,651,340
A. M. Lisboa,8143,11974,18812,32673,158187,321501,227823,225326,300647,311416
Alcochete,8909,12826,21000,37594,753,1829,1341,1317,1824,2246
Almada,8074,11849,18387,31442,9695,20096,14042,14111,18577,17942
Amadora,7671,10920,16209,27605,10588,22199,15384,14100,17201,14086
Barreiro,8513,11930,17512,28100,4015,8816,7121,7120,8969,6501
Cascais,8147,12424,20553,37443,11502,22364,14767,15054,20926,26924
Lisboa,7980,12586,21502,41151,35840,61601,39172,40905,56774,84956
Loures,8159,11481,17286,29128,10689,23861,17316,16599,20591,17921
Mafra,8455,12054,19336,33667,3908,9027,6318,6031,8338,8986
Moita,7953,11026,15558,25026,3596,8091,6258,5669,6730,3931
Montijo,7962,11312,17695,30171,3006,6434,4313,4016,5479,4999
Odivelas,7892,11348,17500,29690,8766,18439,12256,11955,15875,13847
Oeiras,9270,14745,24764,43339,7401,15076,11142,12423,19007,27378
Palmela,8212,11900,18345,30881,3259,7354,5151,5187,6952,6238
Seixal,8439,12205,18661,30417,8362,17531,13303,13559,18664,15373
Sesimbra,8532,12339,18957,30489,2498,5485,4135,4198,6014,4833
Setúbal,8271,11985,18449,31127,6365,13397,9844,9770,13044,11910
Sintra,7980,11263,16684,27800,21828,46152,34328,31590,39488,30861
Vila Franca de Xira,8955,12533,18957,30193,6116,13749,11632,11722,16194,12484
Alentejo,7980,10779,15366,25454,34045,96520,67896,58159,67742,46793
Alentejo Litoral,7151,10025,14118,24643,6249,15483,9844,7570,8577,6842
Alcácer do Sal,7980,10558,14364,23436,523,1611,1199,949,1008,606
