,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Cartaxo,7900,10603,15005,23167,1181,3266,2229,2054,2474,1063
Chamusca,7569,9602,12549,18787,345,1562,913,701,656,198
Coruche,7525,9940,13504,20764,787,2755,1719,1460,1493,562
Golegã,7998,10355,14110,21869,216,851,558,450,534,227
Rio Maior,7114,9627,13234,21201,1267,3442,2007,1676,1846,787
Salvaterra de Magos,7313,9919,13981,21586,1167,3295,1922,1882,1893,842
Santarém,7711,10360,14974,24401,2993,8495,5208,4566,5790,3324
Alto Alentejo,7593,9875,13628,21617,5462,17151,10282,8465,9791,4101
Alter do Chão,8102,10009,13818,20191,141,508,310,295,279,94
Arronches,7620,9799,12998,20558,//,//,//,//,//,//
Avis,7393,9447,12585,18769,210,698,417,329,310,87
Campo Maior,8491,10948,15000,23464,330,1019,815,642,835,330
Castelo de Vide,7738,10189,14274,22458,144,511,304,244,338,125
Crato,7790,9958,13586,20636,148,530,325,288,294,91
Elvas,7575,9887,13663,21932,1114,3205,1962,1552,1905,829
Fronteira,7743,9616,13452,21384,123,554,265,239,272,103
Gavião,7986,9798,12983,19486,130,619,381,280,293,87
Marvão,6917,9323,12506,19470,191,572,268,250,277,65
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,7530,9833,13259,20713,309,1051,638,507,560,215
Ponte de Sor,6511,9285,12002,18629,1063,2854,1546,1194,1132,455
Portalegre,8255,10710,15646,24959,991,3287,2085,1875,2469,1333
Sousel,6914,9315,12133,18914,249,831,429,324,342,114
Alentejo Central,8255,10574,14851,23104,6351,22265,14652,13116,15310,7003
Alandroal,7620,9436,12395,18351,227,982,563,445,420,80
Arraiolos,8270,10293,14191,21852,252,1051,680,577,660,222
Borba,8129,10354,14107,20674,258,973,611,631,567,198
Estremoz,8234,10383,14497,22355,506,1914,1261,1108,1256,496
Évora,8737,11498,17187,26793,2141,6801,4816,4398,6366,3680
Montemor-o-Novo,8300,10409,14402,21888,597,2329,1501,1358,1442,593
Mora,7829,9858,13616,19685,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,7354,9315,12288,18435,261,1009,551,447,431,94
Redondo,7620,9326,12319,18693,295,1166,633,498,454,173
Reguengos de Monsaraz,7735,10116,13749,21147,498,1470,1005,837,892,336
Vendas Novas,8332,10764,14958,23076,519,1501,1061,1063,1085,526
Viana do Alentejo,7877,10023,13483,20858,222,811,529,417,453,167
Vila Viçosa,8449,10450,14293,21576,278,1141,780,707,721,269
Algarve,6071,9315,12764,20939,39465,74925,41931,34816,39559,18949
Albufeira,4507,8664,11370,18450,5757,7896,4076,3254,3375,1559
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,5518,8890,11549,18812,513,985,467,364,402,170
Castro Marim,6440,9299,12569,20666,482,1139,551,470,568,200
Faro,6913,10053,14773,24570,5049,9774,6052,5274,6890,4299
Lagoa,5841,9262,12501,20317,2012,3753,2084,1753,1879,875
Lagos,5975,9314,12282,20282,2783,5239,2917,2294,2584,1156
Loulé,5881,9315,12613,20309,6607,12024,6776,5672,6069,2954
Monchique,6440,9161,11698,18082,//,//,//,//,//,//
Olhão,6772,9418,13015,21199,2984,6684,3916,3129,3677,1608
Portimão,6129,9315,12941,21197,5086,9675,5490,4603,5288,2541
São Brás de Alportel,6555,9566,13608,22326,804,1597,953,828,955,501
Silves,6231,9315,12394,19697,3005,6108,3556,2911,3073,1132
Tavira,6244,9232,12416,20727,2068,4561,2251,1863,2194,1024
Vila do Bispo,5773,9019,11626,18575,474,967,499,382,413,142
Vila Real de Santo António,6648,9315,12776,20313,1363,3164,1698,1477,1646,609
R. A. Açores,7381,10092,14810,24076,12994,32430,19362,16210,21448,13096
Santa Maria,7170,10132,15776,25661,323,751,400,358,531,374
Vila do Porto,7170,10132,15776,25661,323,751,400,358,531,374
São Miguel,7129,9959,14608,24109,7388,17969,10354,8296,11574,7261
Lagoa (R.A.A.),6576,9382,12831,21862,870,2065,1068,798,1043,606
Nordeste,6206,9310,11282,18106,305,731,382,254,280,94
Ponta Delgada,8011,10811,16827,27294,3315,8493,5461,4781,7041,5029
Povoação,5651,8821,11077,18906,437,948,406,310,361,153
Ribeira Grande,6588,9470,12877,21598,1791,4084,2254,1673,2255,1071
Vila Franca do Campo,6107,9245,11201,19032,670,1648,783,480,594,308
Terceira,7973,10583,15528,24803,2734,7184,4683,4171,5233,3252
Angra do Heroísmo,7825,10523,15590,25377,1798,4684,3006,2611,3345,2225
Vila da Praia da Vitória,8156,10696,15390,23845,936,2500,1677,1560,1888,1027
Graciosa,7132,9713,13539,22082,243,606,343,274,346,179
Santa Cruz da Graciosa,7132,9713,13539,22082,243,606,343,274,346,179
São Jorge,6953,9747,13336,21072,517,1299,747,624,724,318
Calheta (R.A.A.),6615,9586,12361,20028,235,558,346,243,291,102
Velas,7334,9854,14192,22079,282,741,401,381,433,216
Pico,7335,9856,13907,21751,781,2083,1206,1081,1174,598
Lajes do Pico,7431,9921,13747,21027,219,621,381,338,330,172
Madalena,7333,9938,14175,21975,355,949,563,498,593,255
São Roque do Pico,7021,9661,13695,22289,207,513,262,245,251,171
Faial,8064,10639,15950,25608,735,1929,1244,1113,1510,939
Horta,8064,10639,15950,25608,735,1929,1244,1113,1510,939
Flores,6711,9703,13324,21248,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,7332,9976,14268,23469,13980,32698,20072,16270,20935,12286
Calheta (R.A.M.),5603,9140,11763,19688,731,1322,632,530,584,288
Câmara de Lobos,6604,9252,11376,17676,1773,4759,2612,1778,1671,601
Funchal,7811,10642,15815,26072,5840,13664,8873,7618,10398,7296
Machico,6963,9583,12996,20977,1172,2712,1638,1284,1490,640
Ponta do Sol,5741,9109,11470,19049,553,1063,559,408,435,211
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,6854,9315,12133,19310,616,1715,944,720,717,323
Santa Cruz,7798,10650,15985,24968,2201,4786,3225,2736,4209,2189
Santana,6670,9290,11636,18536,361,999,536,366,390,154
São Vicente,6322,9220,11981,19553,//,//,//,//,//,//
