,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Arouca,7139,9520,12826,19867,1108,3388,1885,1593,1516,720
Espinho,7604,10406,14988,25618,1679,4402,2810,2445,2585,2263
Gondomar,7516,10316,14826,24288,9177,22748,14490,12811,14888,9621
Maia,8310,11760,18317,31137,6409,14994,10452,9979,13562,12676
Matosinhos,8118,11533,17477,29830,8743,20456,14068,13724,17271,15676
Oliveira de Azeméis,7977,10500,14572,23387,3072,9742,6893,5686,6218,3506
Paredes,6256,9007,11996,18976,6179,14264,7110,6021,5546,2825
Porto,7332,10980,17957,35000,15094,29820,17389,15959,20602,27684
Póvoa de Varzim,6854,9656,14118,23541,4112,9603,5121,4778,5189,3672
Santa Maria da Feira,7481,10122,14039,22699,7356,19963,13019,10974,11558,6853
Santo Tirso,8001,10213,13885,21561,3060,10770,7172,6222,5491,3312
São João da Madeira,7366,10163,14115,23900,1286,3503,2275,1826,1919,1427
Trofa,7943,10390,14500,22843,1946,5540,3781,3273,3577,1911
Vale de Cambra,7930,10740,14923,24064,953,3002,2124,1844,2024,1214
Valongo,7620,10534,15330,24973,5210,12531,8183,7496,9043,5663
Vila do Conde,7584,10343,15104,25017,4216,11323,6774,6416,7084,5075
Vila Nova de Gaia,7691,10753,15832,26690,16387,38734,25670,23189,27719,21938
Alto Tâmega,5963,9006,12190,20664,5829,13184,6085,5038,5491,3403
Boticas,5606,8837,11036,17736,372,822,384,297,251,129
Chaves,6277,9421,13757,23734,2464,5341,2688,2311,2834,2064
Montalegre,5778,8795,11279,18769,716,1562,667,524,560,292
Ribeira de Pena,5874,8913,11550,18298,409,998,450,391,337,179
Valpaços,5577,8477,10795,17500,1074,2526,1033,762,802,341
Vila Pouca de Aguiar,6027,8943,11881,19226,794,1935,863,753,707,398
Tâmega e Sousa,6440,8984,11850,18450,26912,71102,32880,29011,24931,12333
Amarante,6148,8969,11778,19317,3650,8842,4123,3274,3138,1996
Baião,6494,9031,11860,18264,998,2892,1353,1137,1050,390
Castelo de Paiva,6894,9212,12008,18480,929,2645,1404,1157,1016,402
Celorico de Basto,6149,8890,11125,17614,1092,2980,1278,1064,878,414
Cinfães,5439,8389,10458,16633,1398,3109,1248,933,824,376
Felgueiras,7075,9119,11984,18454,3296,10624,4971,4370,3644,1690
Lousada,6668,9009,12104,18389,3150,8421,3860,3857,3127,1326
Marco de Canaveses,5838,8890,11547,18089,3729,8107,3737,3197,2791,1378
Paços de Ferreira,6821,8925,11816,17914,3345,10337,4636,4430,3191,1585
Penafiel,6613,9169,12600,19810,4486,11420,5620,5100,4820,2504
Resende,5278,8335,10372,16931,839,1725,650,492,452,272
Douro,6374,9288,13176,22559,11368,27481,13646,11461,12890,9163
Alijó,5859,8784,11357,18440,782,1942,781,659,659,318
Armamar,5992,8890,11559,18741,361,860,394,317,290,174
Carrazeda de Ansiães,6253,8890,11895,20251,323,882,391,302,339,190
Freixo de Espada à Cinta,6587,9231,12570,19918,//,//,//,//,//,//
Lamego,6445,9394,13431,24151,1528,3594,1801,1465,1703,1404
Mesão Frio,5859,8890,11146,17687,254,658,316,228,207,97
Moimenta da Beira,6602,9493,13229,21403,508,1195,677,577,619,335
Murça,5783,8802,11474,19181,391,859,396,314,311,189
Penedono,//,//,//,//,//,//,//,//,//,//
