,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Amarante,4347693,1299543,464964,464186,193729,132235,310126,97778,157458,0,175759,175759
Baião,2309892,920369,187441,36708,57210,25550,70077,44674,0,3983,307432,227830
Castelo de Paiva,353484,247467,0,0,90734,90734,39814,28994,0,0,99220,99220
Celorico de Basto,1799899,1390107,66510,6461,362659,362659,244631,76479,0,1265,327187,34429
Cinfães,1064078,989586,12346,12346,104652,99174,653398,551435,48710,0,141060,141060
Felgueiras,652203,500723,64946,26000,371276,189718,0,0,0,0,0,0
Lousada,1189747,878191,115506,0,176482,132811,171014,64354,0,0,298107,298107
Marco de Canaveses,1200203,1116406,79121,79121,77399,77399,154487,52730,0,89757,700275,99117
Paços de Ferreira,347825,347825,103210,59992,114803,114803,51344,45568,0,0,75959,75959
Penafiel,5222874,2293489,385176,385176,384464,240964,54335,24780,0,0,1341399,1341399
Resende,1088468,983177,85197,84840,263088,53306,143161,28982,0,66907,398486,119353
Douro,15122186,11666319,1277080,924325,2062315,1537726,3652698,1017026,428283,593935,3203323,1091241
Alijó,919051,445642,107947,107947,104085,104085,132027,71610,0,4,68536,68536
Armamar,771103,199347,91623,8650,40615,40615,20975,0,0,0,4700,4700
Carrazeda de Ansiães,1243131,1243131,112399,58540,98988,60035,124104,28891,0,37056,613823,68595
Freixo de Espada à Cinta,442384,442384,105518,105518,135728,76908,148071,136071,0,0,37150,37150
Lamego,642267,642267,28911,0,178692,178692,234778,31916,0,12554,163650,163650
Mesão Frio,210024,210024,41143,41143,67722,57006,89534,69865,0,0,4021,0
Moimenta da Beira,452971,452971,12485,0,73333,73333,199324,61611,98441,215,95245,56374
Murça,360817,132393,0,0,57722,57722,46063,46063,0,0,24654,24654
Penedono,1375039,649814,20369,0,29758,19740,344074,86079,142582,0,155833,155833
Peso da Régua,160739,160739,0,0,3840,3840,9900,5840,0,810,89704,89704
Sabrosa,465504,447318,66774,55188,26024,26024,228418,17171,96843,0,85193,19200
Santa Marta de Penaguião,407147,404257,0,0,39720,26803,0,0,0,0,364495,77000
São João da Pesqueira,822493,761629,133656,133656,112953,112953,32640,32640,0,0,359403,156201
Sernancelhe,1580582,1500132,26264,13549,117849,84069,311587,170010,0,3809,958800,2000
Tabuaço,211437,192232,66231,38043,41978,41978,31119,27860,0,0,18924,18924
Tarouca,510576,509576,180861,110847,59170,31845,129456,88625,0,0,0,0
Torre de Moncorvo,439437,439437,38866,20000,208519,132974,90600,0,0,0,0,0
Vila Nova de Foz Côa,637813,637813,40000,30000,84596,83908,195591,104551,22845,0,58920,58920
Vila Real,3469671,2195213,204033,201244,581023,325196,1284437,38223,67572,539487,100272,89800
Terras de Trás-os-Montes,9772393,7390511,1016182,308646,680805,340873,2302287,821548,454461,63656,2041628,1826545
Alfândega da Fé,796595,715378,197513,0,89368,1231,232656,34071,6271,2478,95163,91849
Bragança,3361086,2724117,312282,168616,191907,64628,843017,226992,239213,8815,951619,861193
Macedo de Cavaleiros,537030,537030,36493,36083,57896,55837,224900,91337,90380,0,110200,110200
Miranda do Douro,637765,633454,78157,0,87561,44931,234908,99218,72240,0,98190,98190
Mirandela,956418,919572,124274,45397,116173,76453,127274,55389,32872,0,255143,133800
Mogadouro,1958827,832323,71232,43485,95327,80243,408092,263098,0,52363,141795,141795
Vila Flor,621974,580630,14191,14191,17550,17550,113303,6859,0,0,376518,376518
Vimioso,652673,203603,80903,0,2177,0,40068,0,0,0,0,0
Vinhais,250025,244404,101137,874,22846,0,78069,44584,13485,0,13000,13000
Centro,143493188,123974016,18397670,13604333,21002991,17347047,38756085,13714096,9502913,6469457,33378676,16470621
Oeste,15742536,14257636,2762641,2467260,2217880,2056397,3148992,1092929,414201,944881,4687560,2218690
Alcobaça,2607366,2394720,60230,60230,243530,243530,748116,393363,191022,0,1104444,448340
Alenquer,1515440,1284252,306205,303525,294674,294674,241896,166344,15313,0,418246,77619
