,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Montalegre,4001,3817,170,166,2710,2588,1121,1063
Ribeira de Pena,1979,1876,131,128,1296,1233,552,515
Valpaços,6204,5883,251,242,4232,4034,1721,1607
Vila Pouca de Aguiar,4494,4284,215,212,3069,2932,1210,1140
Tâmega e Sousa,103787,98797,8441,8150,67982,64970,27364,25677
Amarante,13461,12867,852,820,8928,8561,3681,3486
Baião,5686,5399,412,400,3611,3435,1663,1564
Castelo de Paiva,4624,4422,380,369,3063,2946,1181,1107
Celorico de Basto,5268,4980,461,448,3440,3250,1367,1282
Cinfães,5976,5642,309,295,4055,3845,1612,1502
Felgueiras,14330,13727,1211,1169,9751,9395,3368,3163
Lousada,10470,9958,1053,1012,6656,6353,2761,2593
Marco de Canaveses,11849,11262,977,946,7589,7242,3283,3074
Paços de Ferreira,12292,11718,992,960,8171,7829,3129,2929
Penafiel,16564,15725,1602,1548,10539,10048,4423,4129
Resende,3267,3097,192,183,2179,2066,896,848
Douro,60019,57031,3314,3211,40290,38409,16415,15411
Alijó,4156,3939,261,255,2745,2612,1150,1072
Armamar,2106,1992,96,91,1398,1327,612,574
Carrazeda de Ansiães,2279,2162,78,76,1527,1453,674,633
Freixo de Espada à Cinta,1355,1264,48,48,945,882,362,334
Lamego,7182,6882,345,335,4832,4646,2005,1901
Mesão Frio,1282,1201,88,84,824,772,370,345
Moimenta da Beira,3012,2873,118,111,2086,2004,808,758
Murça,2199,2079,121,117,1489,1416,589,546
Penedono,843,789,44,44,555,520,244,225
Peso da Régua,5068,4842,389,379,3285,3149,1394,1314
Sabrosa,2255,2150,163,158,1519,1451,573,541
Santa Marta de Penaguião,2623,2503,210,206,1687,1619,726,678
São João da Pesqueira,2162,2030,112,105,1420,1330,630,595
Sernancelhe,1790,1690,62,59,1212,1150,516,481
Tabuaço,1728,1654,92,90,1140,1089,496,475
Tarouca,2213,2120,98,96,1448,1384,667,640
Torre de Moncorvo,2946,2760,90,83,2065,1945,791,732
Vila Nova de Foz Côa,2119,1972,97,94,1406,1316,616,562
Vila Real,12701,12129,802,780,8707,8344,3192,3005
Terras de Trás-os-Montes,36174,34133,1630,1578,25159,23853,9385,8702
