,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Lajes do Pico,6592,6459,948,939,4571,4474,1073,1047
Madalena,9173,9040,1854,1843,5852,5757,1467,1440
São Roque do Pico,4243,4141,822,821,2722,2646,699,674
Faial,16283,16006,2367,2355,11475,11276,2441,2375
Horta,16283,16006,2367,2355,11475,11276,2441,2375
Flores,4049,3965,…,…,2660,2596,…,…
Lajes das Flores,1463,1443,…,…,1033,1020,…,…
Santa Cruz das Flores,2586,2522,526,525,1627,1576,433,421
Corvo,295,290,…,…,217,213,…,…
Corvo,295,290,…,…,217,213,…,…
R. A. Madeira,356026,349423,37370,36705,259958,255274,58697,57445
Calheta (R.A.M.),13968,13648,1231,1211,10330,10079,2408,2358
Câmara de Lobos,35644,35064,5153,5076,24452,24071,6039,5917
Funchal,173951,170719,15332,14973,130041,127768,28579,27978
Machico,32126,31519,4558,4517,22356,21906,5213,5096
Ponta do Sol,9899,9645,941,923,7333,7141,1625,1581
Porto Moniz,3902,3778,231,228,2948,2842,722,708
Ribeira Brava,17778,17340,2314,2264,12909,12608,2555,2468
Santa Cruz,43609,43009,5256,5182,31068,30660,7285,7167
Santana,10167,9965,1057,1048,7278,7129,1831,1789
São Vicente,7314,7137,721,713,5285,5156,1308,1268
Porto Santo,7669,7598,576,569,5959,5913,1133,1116
