,Total (N.º),"Nível de habilitações, Inferior ao 1º ciclo do ensino básico (N.º)","Nível de habilitações, 1º ciclo do ensino básico (N.º)","Nível de habilitações, 2º ciclo do ensino básico (N.º)","Nível de habilitações, 3º ciclo do ensino básico (N.º)","Nível de habilitações, Ensino secundário (N.º)","Nível de habilitações, Curso técnico superior profissional (N.º)","Nível de habilitações, Bacharelato (N.º)","Nível de habilitações, Licenciatura (N.º)","Nível de habilitações, Mestrado (N.º)","Nível de habilitações, Doutoramento (N.º)"
Albufeira,17408,78,1457,1824,5989,6052,…,284,1433,169,…
Alcoutim,300,0,69,34,81,75,0,3,35,3,0
Aljezur,850,…,77,115,290,269,0,10,69,…,0
Castro Marim,1000,…,98,139,337,318,…,12,86,…,0
Faro,16809,133,1295,1442,4292,5501,8,325,3366,332,35
Lagoa,6732,36,649,792,2245,2117,…,118,654,59,…
Lagos,7846,…,655,1098,2584,2470,…,110,789,67,…
Loulé,22568,110,2040,2130,7145,8032,10,294,2435,211,13
Monchique,654,6,112,103,197,151,0,12,64,5,0
Olhão,5845,42,728,689,1774,1746,0,91,663,64,5
Portimão,14230,55,1112,1386,4617,4586,5,234,2020,139,10
São Brás de Alportel,1583,…,114,205,537,445,0,20,230,…,…
Silves,5420,…,695,626,1862,1500,…,41,500,70,…
Tavira,4940,51,533,628,1553,1509,…,68,512,…,…
Vila do Bispo,1427,…,91,201,491,477,…,9,130,17,3
Vila Real de Santo António,3630,…,370,472,1233,1241,…,40,228,16,…
