,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Felgueiras,9522,3804,5718,583015,217585,365430
Lousada,5864,2020,3844,364253,112090,252163
Marco de Canaveses,5811,2277,3534,347225,112578,234647
Paços de Ferreira,6185,2444,3741,381323,139362,241961
Penafiel,8006,2895,5111,491380,155495,335885
Resende,714,379,336,45513,22552,22961
Douro,14990,7448,7542,881386,408590,472796
Alijó,768,435,333,45167,23423,21744
Armamar,442,174,267,25897,9674,16223
Carrazeda de Ansiães,313,124,189,20087,6664,13423
Freixo de Espada à Cinta,121,37,85,7672,2081,5591
Lamego,2800,1554,1246,158142,81743,76399
Mesão Frio,268,132,135,16274,7421,8853
Moimenta da Beira,726,360,366,43298,20410,22888
Murça,359,205,155,20269,10194,10075
Penedono,130,68,63,7597,3279,4318
Peso da Régua,1268,574,694,78587,33737,44850
Sabrosa,436,142,294,27317,7832,19485
Santa Marta de Penaguião,456,261,196,28328,15609,12719
São João da Pesqueira,376,174,201,22581,9326,13255
Sernancelhe,229,100,129,14630,5760,8870
Tabuaço,362,193,169,22499,11157,11342
Tarouca,681,369,312,37273,19298,17975
Torre de Moncorvo,562,260,302,34549,14879,19670
Vila Nova de Foz Côa,448,228,221,26171,12524,13647
Vila Real,4244,2058,2185,245048,113579,131469
Terras de Trás-os-Montes,6964,3353,3611,416291,185712,230579
Alfândega da Fé,369,225,145,20560,11701,8859
Bragança,2259,1087,1172,135614,61413,74201
Macedo de Cavaleiros,823,407,417,47486,21516,25970
Miranda do Douro,281,106,175,17507,6014,11493
Mirandela,1785,800,985,107393,43552,63841
Mogadouro,463,240,223,28572,13826,14746
Vila Flor,478,277,201,27850,14715,13135
Vimioso,146,43,103,8511,2637,5874
Vinhais,360,169,191,22798,10338,12460
Centro,209692,92630,117062,11760649,4694172,7066477
Oeste,41163,17532,23631,2283893,866350,1417543
Alcobaça,4790,1914,2876,269597,95479,174118
Alenquer,6759,2969,3790,369157,146513,222644
Arruda dos Vinhos,1645,806,839,80810,35258,45552
Bombarral,1375,629,746,78836,30443,48393
Cadaval,1538,512,1026,88148,25451,62697
Caldas da Rainha,6035,2459,3577,337099,122481,214618
Lourinhã,2535,1057,1478,143468,51285,92183
Nazaré,1946,794,1152,114743,42773,71970
Óbidos,1189,482,707,68436,24630,43806
Peniche,4168,1862,2306,237607,92712,144895
Sobral de Monte Agraço,904,417,487,48080,19089,28991
Torres Vedras,8279,3632,4646,447912,180236,267676
Região de Aveiro,36111,16569,19542,1957201,800433,1156768
Águeda,4051,1550,2501,227017,80039,146978
