,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Regular education (N.º)","Public primary education, 1st cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, Total, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Regular education (N.º)","Public primary education, 2nd cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, of which, Regular education (N.º)","Public lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Public lower secondary education, 2nd cycle, of which, Vocational courses (N.º)","Public lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Lajes do Pico,154,133,0,79,76,0,0,129,119,0,0,10
Madalena,294,290,0,105,96,0,0,181,168,0,0,13
São Roque do Pico,114,113,0,70,68,0,0,83,76,0,0,0
Faial,478,447,0,332,303,0,0,458,416,0,0,0
Horta,478,447,0,332,303,0,0,458,416,0,0,0
Flores,113,113,0,65,62,0,0,106,92,0,0,12
Lajes das Flores,30,30,0,23,23,0,0,0,0,0,0,0
Santa Cruz das Flores,83,83,0,42,39,0,0,106,92,0,0,12
Corvo,17,16,0,6,6,0,0,13,13,0,0,0
Corvo,17,16,0,6,6,0,0,13,13,0,0,0
R. A. Madeira,6040,6040,0,4318,4312,0,6,7195,6991,0,0,176
Calheta (R.A.M.),307,307,0,200,200,0,0,341,341,0,0,0
Câmara de Lobos,870,870,0,538,538,0,0,941,912,0,0,21
Funchal,2452,2452,0,1835,1835,0,0,2951,2866,0,0,85
Machico,509,509,0,360,360,0,0,621,595,0,0,15
Ponta do Sol,258,258,0,165,165,0,0,275,261,0,0,14
Porto Moniz,62,62,0,46,46,0,0,60,60,0,0,0
Ribeira Brava,412,412,0,247,247,0,0,454,434,0,0,20
Santa Cruz,853,853,0,648,642,0,6,1112,1089,0,0,14
Santana,119,119,0,97,97,0,0,136,136,0,0,0
São Vicente,123,123,0,81,81,0,0,141,141,0,0,0
Porto Santo,75,75,0,101,101,0,0,163,156,0,0,7
