,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Fundão,787,787,0,429,429,0,0,672,627,0,0,45
Gouveia,331,331,0,185,185,0,0,305,262,0,0,43
Guarda,1176,1176,0,680,680,0,0,1070,1070,0,0,0
Manteigas,60,60,0,31,31,0,0,57,57,0,0,0
Mêda,114,114,0,64,64,0,0,88,88,0,0,0
Pinhel,173,173,0,104,104,0,0,177,177,0,0,0
Sabugal,228,228,0,131,131,0,0,180,180,0,0,0
Seia,586,586,0,306,306,0,0,516,489,0,0,27
Trancoso,180,180,0,94,94,0,0,190,190,0,0,0
A. M. Lisboa,118887,118881,0,65341,64652,510,0,99917,96925,510,36,1878
Alcochete,859,859,0,498,498,0,0,775,775,0,0,0
Almada,7467,7467,0,4108,4105,0,0,6361,6265,0,0,83
Amadora,6544,6544,0,3444,3391,0,0,5027,4641,0,0,293
Barreiro,3283,3283,0,1901,1901,0,0,2871,2771,0,0,100
Cascais,9215,9215,0,5245,5242,0,0,8186,8149,0,0,23
Lisboa,25115,25109,0,13837,13370,399,0,21194,20011,427,36,600
Loures,8016,8016,0,4350,4350,0,0,6219,5980,0,0,189
Mafra,3813,3813,0,2186,2186,0,0,3227,3205,0,0,22
Moita,2660,2660,0,1390,1390,0,0,2166,2092,0,0,74
Montijo,2320,2320,0,1305,1302,0,0,1881,1799,0,0,18
Odivelas,5884,5884,0,3376,3357,0,0,5049,4879,0,0,131
Oeiras,6606,6606,0,3455,3455,0,0,5661,5582,0,0,51
Palmela,2906,2906,0,1669,1657,0,0,2648,2627,0,0,0
Seixal,6648,6648,0,3560,3560,0,0,5318,5265,0,0,53
Sesimbra,2234,2234,0,1249,1249,0,0,1890,1890,0,0,0
Setúbal,4926,4926,0,2878,2829,49,0,4491,4461,0,0,30
Sintra,14966,14966,0,7991,7978,0,0,12516,12270,0,0,166
Vila Franca de Xira,5425,5425,0,2899,2832,62,0,4437,4263,83,0,45
Alentejo,24923,24916,0,13717,13510,0,0,21064,20041,0,0,608
Alentejo Litoral,3328,3328,0,1831,1831,0,0,2792,2710,0,0,71
Alcácer do Sal,341,341,0,209,209,0,0,316,305,0,0,0
Grândola,521,521,0,263,263,0,0,452,436,0,0,16
Odemira,869,869,0,493,493,0,0,715,715,0,0,0
Santiago do Cacém,1001,1001,0,530,530,0,0,840,812,0,0,28
Sines,596,596,0,336,336,0,0,469,442,0,0,27
Baixo Alentejo,4263,4260,0,2271,2181,0,0,3435,3121,0,0,175
Aljustrel,305,305,0,152,148,0,0,244,214,0,0,12
Almodôvar,164,164,0,115,115,0,0,167,167,0,0,0
Alvito,81,81,0,39,39,0,0,46,46,0,0,0
Barrancos,42,42,0,25,25,0,0,34,34,0,0,0
Beja,1439,1439,0,788,748,0,0,1178,1090,0,0,73
Castro Verde,238,238,0,134,119,0,0,229,180,0,0,0
Cuba,164,164,0,81,81,0,0,159,121,0,0,38
Ferreira do Alentejo,242,242,0,135,135,0,0,179,179,0,0,0
Mértola,166,166,0,77,77,0,0,127,114,0,0,13
Moura,592,592,0,310,295,0,0,466,420,0,0,9
Ourique,142,142,0,73,73,0,0,118,109,0,0,9
Serpa,470,468,0,239,232,0,0,363,329,0,0,21
Vidigueira,218,217,0,103,94,0,0,125,118,0,0,0
Lezíria do Tejo,8576,8575,0,4776,4735,0,0,7472,7207,0,0,158
Almeirim,847,847,0,550,522,0,0,733,709,0,0,0
Alpiarça,211,211,0,100,100,0,0,177,177,0,0,0
Azambuja,810,810,0,428,428,0,0,677,677,0,0,0
Benavente,1191,1191,0,683,683,0,0,1058,1000,0,0,34
Cartaxo,821,821,0,447,443,0,0,752,705,0,0,32
Chamusca,254,254,0,133,133,0,0,233,221,0,0,0
Coruche,521,520,0,281,272,0,0,419,402,0,0,0
Golegã,173,173,0,81,81,0,0,141,141,0,0,0
Rio Maior,826,826,0,426,426,0,0,739,724,0,0,0
