,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Aljezur,228,228,0,107,107,0,0,162,162,0,0,0
Castro Marim,266,266,0,120,120,0,0,161,161,0,0,0
Faro,2372,2368,0,1452,1423,0,0,2336,2151,0,0,137
Lagoa,911,911,0,477,449,25,0,770,697,0,0,60
Lagos,1063,1063,0,669,662,0,0,1134,1029,0,0,53
Loulé,3064,3064,0,1697,1681,0,0,2459,2216,0,0,210
Monchique,133,133,0,81,81,0,0,128,128,0,0,0
Olhão,1717,1717,0,984,976,0,0,1479,1386,0,0,69
Portimão,2177,2177,0,1378,1328,50,0,2157,2027,46,0,52
São Brás de Alportel,419,419,0,250,250,0,0,380,363,0,0,17
Silves,1328,1327,0,725,720,0,0,1069,1017,0,0,41
Tavira,861,861,0,531,529,0,0,769,690,0,0,69
Vila do Bispo,187,187,0,69,69,0,0,124,124,0,0,0
Vila Real de Santo António,702,701,0,444,436,0,0,754,668,0,0,64
R. A. Açores,9562,9258,0,5287,4926,0,0,8587,7494,0,0,534
Santa Maria,207,207,0,120,120,0,0,179,179,0,0,0
Vila do Porto,207,207,0,120,120,0,0,179,179,0,0,0
São Miguel,5747,5515,0,3287,3023,0,0,5413,4688,0,0,379
Lagoa (R.A.A.),607,598,0,371,329,0,0,616,525,0,0,0
Nordeste,165,158,0,103,103,0,0,154,145,0,0,0
Ponta Delgada,2510,2425,0,1622,1517,0,0,2825,2424,0,0,269
Povoação,226,226,0,148,148,0,0,230,204,0,0,26
Ribeira Grande,1812,1692,0,813,707,0,0,1187,1016,0,0,84
Vila Franca do Campo,427,416,0,230,219,0,0,401,374,0,0,0
Terceira,1964,1910,0,1044,957,0,0,1621,1402,0,0,73
Angra do Heroísmo,1220,1172,0,679,616,0,0,1026,882,0,0,39
Vila da Praia da Vitória,744,738,0,365,341,0,0,595,520,0,0,34
Graciosa,163,163,0,84,84,0,0,114,93,0,0,21
Santa Cruz da Graciosa,163,163,0,84,84,0,0,114,93,0,0,21
São Jorge,293,288,0,156,156,0,0,261,237,0,0,24
Calheta (R.A.A.),120,120,0,67,67,0,0,120,111,0,0,9
Velas,173,168,0,89,89,0,0,141,126,0,0,15
Pico,523,523,0,245,245,0,0,398,383,0,0,15
Lajes do Pico,143,143,0,91,91,0,0,125,117,0,0,8
Madalena,252,252,0,103,103,0,0,180,180,0,0,0
São Roque do Pico,128,128,0,51,51,0,0,93,86,0,0,7
Faial,514,501,0,275,265,0,0,482,402,0,0,13
Horta,514,501,0,275,265,0,0,482,402,0,0,13
Flores,132,132,0,67,67,0,0,107,98,0,0,9
Lajes das Flores,41,41,0,25,25,0,0,0,0,0,0,0
Santa Cruz das Flores,91,91,0,42,42,0,0,107,98,0,0,9
Corvo,19,19,0,9,9,0,0,12,12,0,0,0
Corvo,19,19,0,9,9,0,0,12,12,0,0,0
R. A. Madeira,6835,6835,0,4581,4569,0,0,7855,7327,0,0,347
Calheta (R.A.M.),331,331,0,209,209,0,0,369,352,0,0,10
Câmara de Lobos,1038,1038,0,612,600,0,0,993,904,0,0,35
Funchal,2782,2782,0,1850,1850,0,0,3218,3020,0,0,144
Machico,566,566,0,417,417,0,0,665,605,0,0,50
Ponta do Sol,334,334,0,163,163,0,0,345,319,0,0,26
Porto Moniz,69,69,0,43,43,0,0,67,67,0,0,0
Ribeira Brava,449,449,0,267,267,0,0,532,510,0,0,22
Santa Cruz,902,902,0,739,739,0,0,1174,1070,0,0,60
Santana,136,136,0,83,83,0,0,161,161,0,0,0
São Vicente,144,144,0,87,87,0,0,160,148,0,0,0
Porto Santo,84,84,0,111,111,0,0,171,171,0,0,0
