,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Ponta Delgada,4.4,0.41,107.9,91.8,21.9,42.1,92.3,91.7,x,x,x,x,x
Povoação,4.8,0.28,131.7,80.2,25.4,44.2,95.8,220,x,x,x,x,x
Ribeira Grande,4.7,0.11,58.6,116.9,15.5,40.5,98,135.7,x,x,x,x,x
Vila Franca do Campo,0,0.19,105.2,100.1,21.8,40.1,100.3,100,x,x,x,x,x
Terceira,4.8,0.2,144,79.5,28.6,42.7,93.6,78,x,x,x,x,x
Angra do Heroísmo,3,0.21,148,79.5,29.2,44,93.1,100,x,x,x,x,x
Vila da Praia da Vitória,12.8,0.18,137.3,71.8,27.7,40.5,94.5,45.8,x,x,x,x,x
Graciosa,0,0.24,153.5,74.6,35.3,46.3,96.3,150,x,x,x,x,x
Santa Cruz da Graciosa,0,0.24,153.5,74.6,35.3,46.3,96.3,150,x,x,x,x,x
São Jorge,5.6,0.32,183,66.8,34.3,49.1,97.3,107.7,x,x,x,x,x
Calheta (R.A.A.),0,0.2,200.7,66.3,38.4,50.8,97.4,75,x,x,x,x,x
Velas,8.3,0.41,170.7,67.1,31.5,47.7,97.3,122.2,x,x,x,x,x
Pico,8,0.31,169.2,67.1,34.1,47.5,94.3,168.8,x,x,x,x,x
Lajes do Pico,15.8,0.18,206.4,61.6,40.1,48.7,94.8,166.7,x,x,x,x,x
