,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Póvoa de Varzim,12292,3451,1688,2074,1511,1697,612,1259
Santa Maria da Feira,28738,6561,4048,4946,4152,3155,1435,4441
Santo Tirso,14675,2939,1824,2894,1573,3063,1339,1043
São João da Madeira,8840,1259,868,1179,1188,1426,453,2467
Trofa,11847,2147,1293,1972,1147,1089,1455,2744
Vale de Cambra,5929,947,561,1123,613,889,257,1539
Valongo,13671,3229,1952,2604,1497,1616,154,2619
Vila do Conde,19422,4080,2123,2843,1788,3583,2164,2841
Vila Nova de Gaia,53204,9990,5977,8101,5869,7130,3606,12531
Alto Tâmega,11047,3729,1699,1813,790,1413,537,1066
Boticas,807,242,63,107,73,150,30,142
Chaves,5738,1886,922,829,383,776,136,806
Montalegre,858,376,167,189,4,66,13,43
Ribeira de Pena,886,157,143,183,14,382,0,7
Valpaços,1297,544,199,166,108,20,232,28
Vila Pouca de Aguiar,1461,524,205,339,208,19,126,40
Tâmega e Sousa,85441,20109,11588,18134,14585,11775,3525,5725
Amarante,8472,2534,1227,2058,1483,764,70,336
Baião,2254,705,264,513,406,327,0,39
Castelo de Paiva,2785,605,259,441,332,662,380,106
Celorico de Basto,2101,698,218,692,390,12,…,…
Cinfães,3114,599,330,912,560,680,…,…
Felgueiras,17077,3246,2179,3406,4024,3086,866,270
Lousada,9919,2310,1346,2568,1543,1146,632,374
Marco de Canaveses,9151,2195,1562,1909,1903,1282,26,274
Paços de Ferreira,14833,3645,2287,3003,2004,1365,768,1761
Penafiel,14887,3245,1844,2350,1918,2324,725,2481
Resende,848,327,72,282,22,127,…,…
Douro,26864,8432,3777,4511,3092,2869,364,3819
Alijó,1327,490,207,129,272,133,37,59
Armamar,805,365,139,116,171,7,0,7
Carrazeda de Ansiães,467,261,78,94,0,0,0,34
Freixo de Espada à Cinta,462,91,63,104,69,117,0,18
Lamego,3525,1039,549,499,346,632,36,424
Mesão Frio,414,117,77,121,…,…,…,5
Moimenta da Beira,1398,568,135,461,203,8,3,20
Murça,537,171,84,99,…,127,…,47
Penedono,307,142,53,91,15,0,0,6
Peso da Régua,1879,650,314,369,103,132,37,274
Sabrosa,811,280,128,106,263,3,0,31
Santa Marta de Penaguião,406,136,69,184,…,…,0,5
São João da Pesqueira,963,338,149,258,163,14,29,12
Sernancelhe,829,312,127,189,152,19,9,21
Tabuaço,493,149,139,79,56,30,0,40
Tarouca,1141,320,181,101,225,308,0,6
Torre de Moncorvo,789,370,133,110,70,52,0,54
Vila Nova de Foz Côa,788,262,136,140,98,66,5,81
Vila Real,9523,2371,1016,1261,866,1132,202,2675
Terras de Trás-os-Montes,14742,5034,2018,2586,1144,945,764,2251
Alfândega da Fé,397,148,89,136,7,0,0,17
Bragança,5935,1701,684,1057,589,185,342,1377
Macedo de Cavaleiros,1704,674,269,242,…,130,…,235
Miranda do Douro,834,361,132,177,0,125,0,39
Mirandela,3121,1071,397,537,213,131,306,466
Mogadouro,971,417,167,162,…,171,…,38
Vila Flor,801,211,47,130,94,184,95,40
Vimioso,428,157,110,45,88,8,0,20
Vinhais,551,294,123,100,4,11,0,19
Centro,454146,99876,54892,79297,53530,65104,32773,68674
Oeste,70881,17941,10177,12527,9388,9780,4544,6524
Alcobaça,12263,3006,1841,2473,2275,1993,49,626
Alenquer,9208,1576,927,1323,1241,1568,1470,1103
Arruda dos Vinhos,2836,692,465,496,331,182,577,93
Bombarral,1984,597,301,362,252,329,0,143
Cadaval,1997,534,280,444,219,404,101,15
