,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Aljustrel,1278.76,990.53,971.13,1052.41,1246.48,1617.04,1559.78,1261.4
Almodôvar,978.49,857.2,923.56,996.51,984.42,894.42,1102.74,1368.28
Alvito,1039.82,993.2,972.22,1047,1062.43,//,//,1490.41
Barrancos,933.63,804.67,761.78,999.57,…,1352.94,//,1742.82
Beja,1182.18,1010.27,1158.19,1035.93,1107.29,1193.44,1369.78,1537.51
Castro Verde,2038.78,881.05,980.33,1377.41,1284.04,981.82,1818.03,2869.49
Cuba,1083.3,1070.1,1015.2,1063.76,1018.27,1622.94,//,1220.39
Ferreira do Alentejo,1092.25,955.82,1227.17,1151.88,1453.64,1072.62,//,1298.67
Mértola,919.21,872.36,879.31,935.4,2657.9,923.32,//,1481.55
Moura,988.5,869.94,905.42,952.75,1578.17,1280.91,…,1299.6
Ourique,971.22,856.69,869.64,898.24,1226.08,990.04,//,1340.99
Serpa,968.45,910.91,985.06,978.21,1069.03,918.09,1008.72,1863.38
Vidigueira,1063.64,958.44,1100.69,1116.97,1034.13,//,1147.7,1208.44
Lezíria do Tejo,1120.14,957.78,1064.08,1167.18,1197.86,1137.99,1217.96,1195.85
Almeirim,1037.74,924.65,1003.31,1093.97,1031.58,889.68,762.27,1290.51
Alpiarça,1015.73,960.42,973.64,1042.26,1040.44,848.27,1143.38,991.64
Azambuja,1128.46,998.43,1250.42,1528.32,1276.15,1290.1,1182.86,994.86
Benavente,1189.2,966.3,1142.06,1159.68,1292.93,1048.05,1496.11,1349.24
Cartaxo,1100.42,947.26,984.41,1138.16,1217.5,1224.81,1374.32,1375.37
Chamusca,1050.95,970.87,1139.51,1090.89,1094.94,1070.59,1012.23,1235.94
Coruche,1070.88,952.68,989.88,1128.99,1229.17,1034.98,1040.43,1368.37
Golegã,1019.9,912.9,1046.74,971.05,1031.35,809.92,1144.59,1598.55
Rio Maior,1129.62,920.97,1076.71,1202.84,1251.59,1187.75,1241.61,1209.67
Salvaterra de Magos,1044.56,920.74,1020.06,1061.7,1361.38,1037.87,1737.85,1286.18
Santarém,1152.11,990.73,1032.48,1120.21,1125.92,1148.53,1040.77,1449.26
Alto Alentejo,1078.92,915.1,1012.47,1020.49,1072.45,1181.23,1268.26,1414.76
Alter do Chão,981.66,950.19,953.24,922.65,1010.07,1118.17,//,1294.75
Arronches,949.8,921.24,822.78,911.87,1133.99,//,//,1868.75
Avis,1039.71,934.65,991.23,1021.97,833.69,1122.16,1159.73,2403.94
Campo Maior,1347.69,896.35,1156.08,1024.45,1356.97,1243.72,1601.79,1494.45
Castelo de Vide,947,883.24,986.33,982.22,868.58,1452.24,1023.61,1081.35
Crato,910.76,836.07,853.84,921.29,1027.33,1071.14,1009.19,…
Elvas,1031.71,946.65,1046.72,1061.15,1021.61,1177.69,1088.14,1248.45
Fronteira,1010.27,970.05,942.96,1234.55,832.88,//,//,1473.09
Gavião,858.18,842.93,979.7,928.37,//,746.27,//,1745
Marvão,870.97,847.46,978.31,889.36,812.44,//,823.19,1314.59
Monforte,1074.15,994.57,1071.61,982.88,1568.52,//,//,1043.72
Nisa,885.94,810.67,851.28,862.42,803.14,957.46,//,1802.92
Ponte de Sor,1086.13,888.01,1041.81,1101.38,1141.21,1221.51,1229.83,1216.8
Portalegre,1101.81,937.15,914.77,1015.76,1122.8,1237.82,1174.37,1478.85
Sousel,1023.29,860.14,1112.98,1194.18,986.82,1459.71,//,1819.61
Alentejo Central,1127.29,939.41,1049.1,1087.05,1132.82,1151.37,1360.74,1388.99
Alandroal,1020.1,879.83,845.47,863.53,956.25,1266.05,3015.99,1092.45
Arraiolos,1045.33,920.23,1009.65,1164.83,1098.23,1705.39,800.4,2095.99
Borba,1016.04,907.61,1053.83,1236.9,1460.91,893.38,//,1031.54
Estremoz,1050.42,929.82,1089.11,1021.95,1073.33,1032.15,1241.21,1352.8
Évora,1215.56,973.27,1074.56,1105.77,1133.55,1214.64,1477.23,1403.31
Montemor-o-Novo,1036.09,927.33,1034.83,1086.34,988.43,1108.35,1181.82,1278.4
Mora,1028.81,915.23,1211.97,991.51,818.39,1136.3,//,1639.46
Mourão,1001.76,945.7,1004.95,971.52,1014.9,1925.32,//,1129.43
Portel,1026.46,876.5,960.25,1149.84,1747.94,1007.37,//,//
Redondo,1054.99,889.95,1067.88,1178.74,1191.29,1082.16,//,1569.34
Reguengos de Monsaraz,1059.26,913.61,981.41,1053.46,1181.84,1153.79,1334.01,1266.11
Vendas Novas,1080.51,907.36,998.46,1090.14,1047.44,1208.25,969.76,1504.59
Viana do Alentejo,968.17,945.29,939.9,1037.88,1060.08,797.52,//,2037.39
Vila Viçosa,1119.09,1005.12,1082.22,1024.31,1330.72,1137.49,940.47,1569.76
Algarve,1106.32,933.46,1039.12,1106.87,1197.16,1206.7,1213.39,1264.71
Albufeira,1092.27,912.49,1059.33,1129.27,1184.77,1136.41,1337.42,1142.75
Alcoutim,925.49,963.08,824.93,872.69,950.13,//,888.46,…
Aljezur,970.58,930.57,1008.74,1030.1,980.55,1091.33,828.37,1680.6
Castro Marim,938.4,837.7,965.76,998.25,974.26,1556.19,1224.88,899.57
Faro,1257.8,962.78,1023.12,1169.03,1446.22,1310.31,1212.26,1542.41
Lagoa,1113.22,945.52,1060.28,1057.62,1274.5,1188.01,1208.81,1305.18
Lagos,1056.61,933.68,1067.19,1134.56,1219.55,1106.69,937,1225.63
Loulé,1114.22,972.92,1106.43,1114.85,1239.84,1222.95,1324.76,1107.04
Monchique,933.36,807.57,870.44,1065.82,1173.97,2134.78,//,2269.35
Olhão,1039.66,928.02,1035.61,1065.53,1073.28,1174.74,1075.63,1116.83
Portimão,1102.08,905.52,995.1,1093.63,1085.4,1335.71,1185.93,1212.74
