,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Santa Cruz da Graciosa,173,173,0,83,83,0,0,112,100,0,0,12
São Jorge,294,283,0,150,150,0,0,275,249,0,0,26
Calheta (R.A.A.),124,124,0,57,57,0,0,127,118,0,0,9
Velas,170,159,0,93,93,0,0,148,131,0,0,17
Pico,544,544,0,250,250,0,0,398,374,0,0,24
Lajes do Pico,159,159,0,80,80,0,0,132,121,0,0,11
Madalena,265,265,0,106,106,0,0,187,174,0,0,13
São Roque do Pico,120,120,0,64,64,0,0,79,79,0,0,0
Faial,508,502,0,291,273,0,0,463,425,0,0,0
Horta,508,502,0,291,273,0,0,463,425,0,0,0
Flores,108,108,0,63,63,0,0,112,106,0,0,6
Lajes das Flores,34,34,0,21,21,0,0,0,0,0,0,0
Santa Cruz das Flores,74,74,0,42,42,0,0,112,106,0,0,6
Corvo,20,20,0,7,7,0,0,14,14,0,0,0
Corvo,20,20,0,7,7,0,0,14,14,0,0,0
R. A. Madeira,6290,6290,0,4390,4390,0,0,7568,7327,0,0,186
Calheta (R.A.M.),320,320,0,190,190,0,0,384,376,0,0,8
Câmara de Lobos,929,929,0,558,558,0,0,949,901,0,0,25
Funchal,2539,2539,0,1912,1912,0,0,3057,2971,0,0,86
Machico,524,524,0,367,367,0,0,664,636,0,0,18
Ponta do Sol,271,271,0,179,179,0,0,283,283,0,0,0
Porto Moniz,67,67,0,36,36,0,0,66,66,0,0,0
Ribeira Brava,432,432,0,234,234,0,0,495,477,0,0,18
Santa Cruz,868,868,0,646,646,0,0,1192,1148,0,0,22
Santana,133,133,0,83,83,0,0,153,153,0,0,0
São Vicente,131,131,0,81,81,0,0,145,145,0,0,0
Porto Santo,76,76,0,104,104,0,0,180,171,0,0,9
