,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Aveiro,404.5,1.5,-0.18,1.68,8.5,10.4,2.9,1.4,36.8,x,x,43.4,55.9,10.8
Estarreja,241.7,0.54,-0.44,0.99,8.8,13.3,2,1.8,40.9,x,x,41.3,59.1,24.5
Ílhavo,533,1.19,-0.21,1.4,8.6,10.7,1.4,2,37.7,x,x,42.9,53.9,22.2
Murtosa,142.4,1.22,-0.56,1.78,7.4,13.1,5.3,1.2,32.5,x,x,44.2,61,18.2
Oliveira do Bairro,283.1,1.8,-0.3,2.09,8,11,2.2,2.2,33.5,x,x,45.8,60.4,15.1
Ovar,368.9,0.42,-0.37,0.79,6.9,10.6,1.6,1.9,30.9,x,x,42.6,54.7,14.6
Sever do Vouga,87,-0.34,-1.06,0.72,6,16.6,1.3,1.3,30.3,x,x,38.4,45.6,20
Vagos,139.4,1.05,-0.41,1.47,8,12.2,2.6,1.9,35,x,x,43.6,53.3,6.9
Região de Coimbra,100.5,0.38,-0.69,1.07,6.9,13.8,1.8,1.7,33.4,3.6,1.26,38.8,56.3,14.5
Arganil,33,-0.21,-1.43,1.22,4.8,19.1,1.5,1.3,24.7,x,x,37.2,75.5,11.8
Cantanhede,89.9,0.32,-0.82,1.14,6.5,14.7,1.6,1.7,32,x,x,38.7,54.6,5.3
Coimbra,423.1,0.72,-0.37,1.09,8,11.7,2.2,1.8,40.4,x,x,36.8,53.4,22.5
Condeixa-a-Nova,129,0.91,-0.52,1.43,6.6,11.8,0.8,1.7,27.6,x,x,44.8,45.3,13.3
Figueira da Foz,155.4,0.29,-0.72,1.02,6.8,14,2.2,2.1,32.8,x,x,39,65.6,1.6
Góis,14.3,-0.84,-2.16,1.32,3.7,25.3,1.1,0.5,18.5,x,x,37,64.3,0
Lousã,124.8,0.69,-0.33,1.01,7.4,10.6,1.7,1.2,31.5,x,x,45.3,60.6,14.3
Mealhada,180.8,0.49,-0.65,1.13,6.1,12.6,1.2,1.6,28,x,x,41.3,63.1,13
Mira,95.8,0.38,-0.83,1.21,7.1,15.4,1.6,1.9,35,x,x,38.3,48.8,5.3
Miranda do Corvo,100.6,0.04,-1.05,1.09,5.2,15.7,1,1.1,23.7,x,x,41.9,54.5,15.4
Montemor-o-Velho,110.5,0.27,-0.55,0.82,7.5,13.1,1.6,1.3,35.5,x,x,40.4,51.1,22
Mortágua,35.1,0.15,-1.02,1.17,5.4,15.7,1.8,0.6,28.9,x,x,35.2,58.3,12.5
Oliveira do Hospital,82.1,-0.02,-0.76,0.74,7.4,15.1,1.4,1.6,37.3,x,x,38,53.1,7.4
Pampilhosa da Serra,10.2,-0.12,-2.28,2.16,3,25.8,0.7,0.5,16.6,x,x,34,66.7,0
Penacova,63,-0.36,-1.15,0.79,3.2,14.7,1.6,1.2,16.4,x,x,37.1,45.5,9.1
Penela,40,-0.19,-1.3,1.11,6.7,19.7,3.2,1.3,33.7,x,x,37.6,55.6,11.8
Soure,64.3,-0.37,-1.04,0.66,6.2,16.6,1.2,1.7,32.8,x,x,35.7,63.2,40
Tábua,57.2,0.45,-0.82,1.26,7.7,15.9,1.2,1.1,35.3,x,x,42,61.4,7.1
Vila Nova de Poiares,82.4,0.29,-1.04,1.32,4.5,14.8,1.9,2,18.1,x,x,46.8,58.1,7.7
Região de Leiria,117.1,0.7,-0.41,1.12,7.7,11.8,1.4,1.6,35.3,5,1.32,41.5,55.3,10.6
Alvaiázere,41.1,-0.11,-1.53,1.43,3.2,18.5,0.9,0.6,16.8,x,x,36,57.1,16.7
Ansião,68.5,0.18,-0.96,1.15,5.3,14.9,1.4,1.1,26,x,x,38.5,40.6,23.5
Batalha,156.3,1.27,-0.17,1.44,8.5,10.3,2.7,2,37,x,x,44,54.7,14
Castanheira de Pêra,38.6,-1.43,-2.2,0.77,5.4,27.4,0.8,0.4,33.2,x,x,30.5,64.3,0
Figueiró dos Vinhos,32.1,-0.05,-1.2,1.15,5.6,17.6,1.8,1.1,30.8,x,x,34.2,58.1,10
Leiria,223.8,0.96,-0.13,1.1,8.5,9.8,1.3,1.7,37.9,x,x,42.8,52.9,7.5
Marinha Grande,207.6,0.93,-0.2,1.13,8.9,10.9,1.5,1.8,40.1,x,x,42.1,60.8,7
Pedrógão Grande,26.5,0.15,-1.73,1.88,4.7,22,1.5,1.2,23.6,x,x,38.6,68.8,20
Pombal,82.5,0.39,-0.69,1.08,6.7,13.6,1.3,1.6,32,x,x,40.1,58.7,13.4
Porto de Mós,89.1,0.21,-0.64,0.85,6.4,12.7,0.8,1.6,30.1,x,x,41,55.4,15.8
Viseu Dão Lafões,78,0.42,-0.73,1.15,6.7,14,1.6,1.4,31.3,4.2,1.16,40.4,51.5,12.6
Aguiar da Beira,22.4,-0.39,-2.26,1.87,6,28.6,0.9,0.6,27.7,x,x,40.6,42.9,25
Carregal do Sal,79.7,0.45,-0.9,1.36,6.5,15.5,1.3,1.2,31.4,x,x,39.3,66.7,0
Castro Daire,36.4,-0.05,-1.19,1.14,5.1,17.1,1.7,1.2,26.8,x,x,36.8,39.4,16.7
Mangualde,84.5,0.15,-0.86,1.01,6.2,14.8,2.3,1.4,30.9,x,x,38.9,57.4,7.1
Nelas,103.3,0.08,-0.9,0.98,6.3,15.3,1.6,1.9,31.8,x,x,37.7,56.1,14.3
Oliveira de Frades,68.7,0.49,-0.57,1.06,7.4,13.2,2.5,1.5,33,x,x,43.1,52.7,8
Penalva do Castelo,53.2,0.42,-0.65,1.07,6.3,12.8,0.8,1.4,31.7,x,x,38.2,46.7,66.7
Santa Comba Dão,93.3,-0.07,-1.06,1,6.1,16.7,1.7,1.1,29.5,x,x,38.8,53.1,27.8
São Pedro do Sul,44.2,0.12,-0.9,1.02,5.5,14.5,1.4,1,28.1,x,x,36.6,60.7,9.5
Sátão,57.6,0.47,-0.82,1.29,5.1,13.3,1.5,1.6,23.9,x,x,40.3,30.5,5.9
Tondela,71,0,-0.99,0.99,5.3,15.2,1.7,1,27.6,x,x,36.7,52.9,8.9
Vila Nova de Paiva,26.7,0.02,-1.47,1.49,5.3,20.1,1.9,1.1,24.9,x,x,41.1,52,0
Viseu,193.5,0.87,-0.35,1.22,7.9,11.4,1.3,1.7,34.3,x,x,43.5,50.6,14.6
Vouzela,49.7,0.04,-0.96,1,6.1,15.7,2.3,0.9,30.5,x,x,38.4,54.2,9.1
