Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,19,119,6110100119,7,7,0,7,6,1,0,2,4,1,0,1,7,7,1,6,0,0,1,0,1,1,0,1,0,2,1,1,0,0,0,2,6053.856524441799,864904.0059049425
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,22,222,6112200222,11,11,0,11,10,1,3,8,0,0,0,3,11,11,7,4,1,7,7,0,7,5,2,3,2,13,5,8,2,1,7,3,353.5661940463502,4744.464649334887
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,23,223,6112200223,3,3,0,3,3,0,0,1,1,0,1,0,3,3,3,0,2,3,3,0,3,2,1,3,1,7,4,3,0,1,2,4,1510.722223427221,129469.6732422916
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,24,224,6112200224,13,12,1,13,12,1,0,7,5,1,0,0,15,15,9,6,2,6,7,0,9,5,4,8,4,23,9,14,3,2,10,8,446.3158999242158,11396.2018869585
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,25,225,6112200225,14,14,0,14,14,0,6,8,0,0,0,3,14,14,4,10,0,1,4,0,4,4,0,0,0,4,0,4,0,0,1,3,410.6871473028226,9716.807225858289
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,26,226,6112200226,26,26,0,26,24,2,2,19,4,1,0,8,26,26,7,19,3,3,7,0,7,4,3,9,2,22,10,12,3,0,10,9,630.9817326192838,17571.03686165115
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,27,227,6112200227,6,6,0,6,6,0,1,5,0,0,0,3,6,6,1,5,0,0,1,0,1,1,0,1,0,2,1,1,0,0,1,1,1049.174360870263,48104.96208942181
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,28,228,6112200228,22,22,0,22,20,2,4,16,0,0,2,11,22,22,5,17,0,2,4,1,5,4,1,3,0,9,4,5,0,0,5,4,638.1541776546868,20115.50934602473
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,29,229,6112200229,23,23,0,23,14,9,7,9,6,1,0,3,25,25,17,8,6,12,14,2,17,14,3,9,2,30,12,18,0,2,17,11,957.3134658645461,36795.7877951228
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,30,230,6112200230,14,14,0,14,12,2,5,9,0,0,0,5,14,14,6,8,2,3,6,0,6,4,2,5,2,15,9,6,2,1,8,4,366.6423522719757,6156.186827988916
