,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Lousada,9919,285,392,718,1013,951,39,3376,2098,1047
Marco de Canaveses,9151,328,470,693,996,1058,71,3129,1448,958
Paços de Ferreira,14833,831,649,1043,1491,1585,24,5384,2206,1618
Penafiel,14887,489,1560,1278,1513,2428,85,3670,2170,1693
Resende,848,39,69,50,91,226,24,200,41,108
Douro,26864,1066,3013,2265,3162,6960,779,3340,2113,4142
Alijó,1327,50,109,100,183,360,40,110,137,236
Armamar,805,51,56,45,70,201,46,112,59,164
Carrazeda de Ansiães,467,16,30,22,65,113,23,62,41,95
Freixo de Espada à Cinta,462,14,62,29,45,83,19,45,35,130
Lamego,3525,137,298,279,430,857,92,515,261,655
Mesão Frio,414,22,24,24,34,123,30,73,22,62
Moimenta da Beira,1398,69,144,96,143,331,34,208,110,263
Murça,537,17,60,28,53,126,28,57,86,82
Penedono,307,22,18,13,27,91,14,48,9,65
Peso da Régua,1879,68,186,195,244,614,37,177,95,263
Sabrosa,811,34,82,64,107,214,48,51,51,160
Santa Marta de Penaguião,406,14,26,32,55,127,23,38,17,74
São João da Pesqueira,963,51,79,50,97,231,67,54,122,212
Sernancelhe,829,57,51,82,92,155,11,151,81,149
Tabuaço,493,20,47,40,51,123,53,37,58,64
Tarouca,1141,42,62,56,115,184,22,410,47,203
Torre de Moncorvo,789,31,81,57,84,211,37,85,55,148
Vila Nova de Foz Côa,788,31,85,61,77,198,95,44,75,122
Vila Real,9523,320,1513,992,1190,2618,60,1063,752,995
Terras de Trás-os-Montes,14742,560,1727,1361,1502,4109,221,1908,1003,2310
Alfândega da Fé,397,12,37,32,55,92,15,41,22,91
Bragança,5935,187,863,580,574,1632,22,765,527,747
Macedo de Cavaleiros,1704,63,197,140,167,526,46,173,108,283
Miranda do Douro,834,60,67,41,93,252,20,124,29,148
Mirandela,3121,106,346,357,330,933,47,371,170,460
Mogadouro,971,71,76,84,101,265,33,201,38,102
Vila Flor,801,10,64,44,85,125,17,72,59,324
Vimioso,428,36,43,32,37,126,6,51,16,81
Vinhais,551,15,34,51,60,158,15,110,34,74
Centro,454146,16853,45714,47675,52842,87324,6805,77193,61801,57721
Oeste,70881,2767,5165,6835,9544,13258,2625,12645,8622,9406
Alcobaça,12263,476,877,1038,1677,1925,256,3183,1234,1597
Alenquer,9208,313,436,1187,1467,1076,141,1836,1526,1226
Arruda dos Vinhos,2836,122,283,216,393,457,11,398,682,273
Bombarral,1984,86,103,162,241,386,182,241,184,399
Cadaval,1997,76,139,131,255,333,88,284,336,355
Caldas da Rainha,10268,395,1001,1029,1424,2364,147,1621,1008,1279
Lourinhã,3999,123,209,266,516,772,381,810,454,468
Nazaré,2493,141,150,218,336,717,48,272,232,376
Óbidos,2628,159,323,241,335,616,131,292,117,411
Peniche,4235,195,204,299,467,1084,343,775,279,587
Sobral de Monte Agraço,1494,84,65,124,198,273,20,320,214,196
Torres Vedras,17476,597,1375,1924,2235,3255,877,2613,2356,2239
Região de Aveiro,89950,3279,9660,10550,10361,13352,446,15163,14620,12456
Águeda,12873,522,946,1371,1693,1632,32,2397,1653,2614
Albergaria-a-Velha,6343,222,530,692,755,828,45,1509,1270,490
Anadia,5725,200,504,573,757,938,73,876,1019,782
Aveiro,25141,897,4103,3309,2477,4526,48,3131,2982,3641
Estarreja,6356,188,450,785,661,630,19,847,2056,717
Ílhavo,7167,265,934,915,826,1093,41,1398,1008,685
Murtosa,1284,66,84,79,71,232,58,442,120,132
Oliveira do Bairro,5903,219,473,626,861,903,12,1076,906,825
Ovar,12545,481,1066,1578,1554,1586,61,1943,2854,1415
Sever do Vouga,2356,70,164,267,212,292,21,778,176,375
Vagos,4257,149,406,355,494,692,36,766,576,780
Região de Coimbra,81365,2947,10034,8709,9424,17316,847,11865,9951,10203
Arganil,1664,58,103,105,181,370,27,332,212,274
Cantanhede,7136,238,659,750,885,1254,86,1624,844,781
Coimbra,29237,1107,5534,3705,3728,7419,89,2759,1652,3217
Condeixa-a-Nova,2126,74,190,321,198,502,6,246,344,241
Figueira da Foz,12493,445,1153,1323,1290,2361,108,2206,1967,1628
Góis,465,17,28,26,43,195,24,56,21,55
Lousã,2509,98,261,269,334,482,41,328,361,334
Mealhada,4466,113,348,414,611,640,32,631,1191,486
Mira,1790,80,133,205,227,347,74,261,219,244
Miranda do Corvo,1126,47,124,78,102,253,22,140,84,276
Montemor-o-Velho,2987,121,263,201,396,498,24,556,465,462
Mortágua,2112,72,254,208,248,313,78,311,259,366
Oliveira do Hospital,3684,114,316,344,383,823,42,642,589,431
Pampilhosa da Serra,521,42,36,36,29,166,10,58,14,130
Penacova,1698,70,101,103,154,311,15,465,300,179
Penela,1554,64,181,171,111,233,18,170,255,347
Soure,1907,75,143,150,166,518,109,327,168,251
Tábua,2420,78,113,160,215,389,22,572,594,277
Vila Nova de Poiares,1470,34,94,140,123,242,20,181,412,224
Região de Leiria,72688,3043,6616,8047,8877,11857,583,14364,11045,8237
Alvaiázere,1080,36,73,75,73,219,16,203,269,116
Ansião,2254,97,176,153,260,378,24,354,469,343
Batalha,4334,171,283,419,477,591,49,1090,696,558
Castanheira de Pêra,394,14,35,42,28,87,5,31,102,50
Figueiró dos Vinhos,592,17,70,46,67,155,15,91,33,97
Leiria,36514,1382,4009,4100,4810,6567,300,6907,4251,4177
Marinha Grande,10370,432,887,1600,1208,1096,11,2163,2023,946
Pedrógão Grande,436,13,74,36,54,89,11,51,35,72
Pombal,11960,667,759,1113,1337,2053,120,2469,2129,1312
Porto de Mós,4754,214,250,463,563,622,32,1005,1038,566
Viseu Dão Lafões,50779,1753,5141,5122,5199,10369,727,9283,7007,6153
Aguiar da Beira,876,67,77,53,86,198,17,132,95,151
Carregal do Sal,1877,53,241,205,188,283,32,436,222,214
Castro Daire,1733,59,90,109,142,502,27,283,317,204
Mangualde,4590,87,215,301,436,590,17,874,1758,312
Nelas,2904,84,220,324,207,388,18,665,619,377
Oliveira de Frades,2976,106,184,464,278,310,98,801,427,307
Penalva do Castelo,961,25,51,51,72,241,14,116,226,165
Santa Comba Dão,1686,92,163,180,134,382,35,183,121,392
São Pedro do Sul,2022,62,125,132,206,578,72,376,184,287
Sátão,1431,51,73,72,108,344,23,428,191,141
Tondela,5318,202,469,615,577,817,126,622,651,1232
