,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Lagoa,1072.03,926.63,969.82,1051.15,1068.02,1254.1,1130.62,1304.25
Lagos,1019.29,912.84,1001.43,1160.36,1106.82,1047.14,892.98,1202.14
Loulé,1082.9,913.17,1092.16,1107.07,1161.75,1216.69,1314.41,1114.61
Monchique,935.26,768.41,835.5,1117.77,1242.88,2387.67,//,1944.28
Olhão,993.19,883.18,973.33,1057.52,1038.43,1068.04,930.82,1088.74
Portimão,1081.93,866.05,962.79,1023.06,1048.99,1284.92,1122.81,1256.83
São Brás de Alportel,997.35,875.62,997.84,970.01,970.51,2422.75,1096.99,1421.98
Silves,1010.95,859.5,944.69,1031.28,1269.64,1188.91,1022.41,1162.37
Tavira,967.23,866.79,914.23,983.73,1178.72,1001.82,1034.29,1074.49
Vila do Bispo,960.18,899.65,1005.67,1009.17,951.64,1433.65,1079.39,1191.39
Vila Real de Santo António,965.98,814.95,945.99,998.98,1007.41,1093.67,866.3,1359.98
R. A. Açores,1131.35,863.59,935.61,1013.73,1164.46,1119.91,1218.57,1738.03
Santa Maria,1779.25,816.56,774.94,832.83,1913.83,977.88,2586.43,3938.12
Vila do Porto,1779.25,816.56,774.94,832.83,1913.83,977.88,2586.43,3938.12
São Miguel,1141,872.69,933.49,1042.8,1233.5,1119.36,1112.12,1689.13
Lagoa (R.A.A.),972.47,837.6,894.21,937.04,1174.16,1177.14,753.51,1078.86
