,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Tâmega e Sousa,77891,317,10798,17570,21646,19585,36,615,6417,824,46
Amarante,8014,18,1162,1370,2062,2290,…,77,897,124,…
Baião,2047,…,341,376,532,513,…,26,198,42,…
Castelo de Paiva,2646,…,191,645,845,735,…,14,179,19,…
Celorico de Basto,2066,8,257,393,624,594,…,25,131,26,…
Cinfães,2791,20,420,778,869,562,…,14,112,8,…
Felgueiras,15874,44,2523,3655,4524,4012,…,88,913,96,…
Lousada,8959,73,1420,2312,2753,1696,…,74,559,62,…
Marco de Canaveses,8236,33,1146,2181,2199,1950,4,65,570,80,5
Paços de Ferreira,12602,29,1613,3105,3651,3032,8,118,944,96,3
Penafiel,13712,57,1624,2591,3322,3920,6,110,1799,264,15
Resende,944,…,101,164,265,281,0,4,115,7,…
Douro,25964,85,2903,3214,6555,7897,22,340,4375,523,31
Alijó,1325,…,208,186,327,380,…,20,180,14,…
Armamar,810,4,161,132,191,206,0,13,92,11,0
Carrazeda de Ansiães,531,…,82,69,157,142,0,3,72,…,…
Freixo de Espada à Cinta,433,0,32,27,44,244,…,…,80,…,0
Lamego,3334,7,351,497,733,1159,…,47,476,52,…
Mesão Frio,361,…,53,40,133,92,…,…,…,…,0
Moimenta da Beira,1344,…,125,220,336,440,…,16,191,9,0
Murça,509,3,75,74,140,132,0,6,73,5,0
Penedono,316,…,60,49,96,68,0,0,…,…,0
Peso da Régua,1976,8,226,245,517,584,0,21,328,39,6
Sabrosa,828,…,118,121,204,216,0,8,143,11,…
Santa Marta de Penaguião,463,…,109,66,115,102,…,4,60,…,…
São João da Pesqueira,923,12,222,135,192,219,…,13,117,…,0
Sernancelhe,782,0,88,114,203,282,0,8,81,…,…
Tabuaço,455,…,88,58,107,118,…,8,62,6,…
Tarouca,1079,…,141,169,390,266,0,14,89,…,0
Torre de Moncorvo,783,…,124,92,197,235,0,20,104,7,…
Vila Nova de Foz Côa,805,…,117,138,226,169,…,17,114,12,0
Vila Real,8907,16,523,782,2247,2843,4,118,2037,318,13
Terras de Trás-os-Montes,14445,29,1288,1564,3523,4708,10,229,2740,308,25
Alfândega da Fé,373,0,38,47,75,152,0,6,52,3,0
Bragança,5800,…,379,494,1278,1957,…,75,1383,186,18
Macedo de Cavaleiros,1705,…,206,197,447,513,…,…,276,33,…
Miranda do Douro,862,…,86,103,268,274,…,…,104,12,0
Mirandela,3159,…,310,351,732,1059,…,63,593,…,…
Mogadouro,907,5,69,140,232,303,0,25,125,8,0
Vila Flor,698,5,83,92,206,199,0,11,96,6,0
Vimioso,407,…,71,55,102,97,0,5,61,11,…
Vinhais,534,…,46,85,183,154,0,10,50,…,…
Centro,456336,1547,38264,59479,126238,142620,333,7115,67887,10923,1273
Oeste,70504,353,7034,9705,21216,22130,83,799,7923,933,45
Alcobaça,12422,57,1285,1826,3522,3979,10,136,1402,150,5
Alenquer,8852,58,815,1298,2620,2949,7,97,867,128,4
Arruda dos Vinhos,2803,6,222,442,927,657,6,52,415,71,3
Bombarral,1808,26,190,282,575,525,…,25,163,…,0
Cadaval,1918,…,244,267,610,527,…,16,222,19,0
Caldas da Rainha,11230,39,1412,1130,3207,3779,10,113,1302,180,7
Lourinhã,3877,38,422,642,1148,1150,9,28,351,20,0
Nazaré,2456,13,208,319,725,829,3,31,285,30,0
Óbidos,2549,…,154,211,762,873,…,31,438,49,5
Peniche,4253,19,419,633,1364,1302,…,50,404,43,…
Sobral de Monte Agraço,1369,3,132,265,453,380,…,3,107,…,…
Torres Vedras,16967,79,1531,2390,5303,5180,26,217,1967,210,15
Região de Aveiro,91882,255,6647,12664,25124,28103,51,1672,13692,2976,632
Águeda,12701,52,1209,2112,3400,3724,5,233,1633,316,8
Albergaria-a-Velha,6468,14,492,1096,1889,1913,4,120,769,161,3
Anadia,5729,13,615,1011,1657,1429,…,110,799,86,…
Aveiro,25396,53,1452,2529,5827,8283,18,518,4880,1250,564
Estarreja,6449,25,412,834,2255,1846,4,152,765,139,12
Ílhavo,7028,25,512,913,1791,2166,4,91,1201,304,13
Murtosa,1392,…,130,253,488,333,0,…,138,20,…
Oliveira do Bairro,5731,…,416,968,1524,1787,…,101,800,119,…
Ovar,14188,46,955,1905,4292,4586,8,221,1751,395,19
Sever do Vouga,2075,…,124,396,617,637,…,…,213,47,0
Vagos,4725,9,330,647,1384,1399,…,67,743,139,…
Região de Coimbra,82157,231,6405,10082,21539,24988,57,1344,13996,2960,443
Arganil,1738,…,179,274,558,544,…,22,140,15,0
Cantanhede,7374,26,568,997,2173,2154,4,97,1049,236,64
Coimbra,29131,51,1394,2541,6111,9267,19,556,7070,1751,346
Condeixa-a-Nova,2172,…,286,298,526,592,…,41,372,41,0
Figueira da Foz,13017,26,947,1654,3822,4151,5,220,1884,277,4
Góis,466,…,49,56,161,146,0,6,40,…,0
Lousã,2497,…,136,305,685,865,…,43,379,70,…
Mealhada,4224,…,318,664,1286,1268,…,71,532,75,…
Mira,1801,8,197,329,534,427,…,28,231,29,…
Miranda do Corvo,1095,…,174,133,296,299,…,45,130,13,0
Montemor-o-Velho,2830,…,279,437,848,839,…,32,332,55,0
Mortágua,2406,11,209,306,510,744,3,35,424,154,5
Oliveira do Hospital,3832,24,583,587,1034,1030,6,49,418,77,9
Pampilhosa da Serra,530,…,82,100,175,119,0,4,43,…,0
Penacova,1690,…,214,319,532,425,…,27,154,…,…
Penela,1459,…,164,200,424,341,0,15,247,62,…
Soure,1794,…,182,212,545,584,0,25,211,21,…
Tábua,2639,35,280,428,868,758,4,20,215,28,3
Vila Nova de Poiares,1462,…,164,242,451,435,…,8,125,29,…
Região de Leiria,71472,218,5807,9066,19810,23068,56,986,10874,1467,39
Alvaiázere,1027,…,133,210,316,241,…,13,103,4,…
Ansião,2132,…,257,335,650,593,…,35,224,21,…
Batalha,4248,…,462,642,1283,1219,…,58,476,55,…
Castanheira de Pêra,401,…,63,61,104,115,0,0,49,…,0
Figueiró dos Vinhos,583,…,70,102,161,157,0,12,71,…,0
Leiria,36029,85,2588,4214,9669,11637,22,531,6366,860,23
Marinha Grande,9975,19,479,943,2726,3642,24,164,1705,264,6
Pedrógão Grande,448,3,41,59,115,134,0,5,80,11,0
Pombal,11871,37,1190,1768,3383,3907,3,109,1298,157,3
Porto de Mós,4758,…,524,732,1403,1423,0,59,502,79,…
Viseu Dão Lafões,51031,145,4364,7299,13820,15961,32,750,7624,944,58
Aguiar da Beira,841,0,144,149,235,208,4,…,82,12,…
Carregal do Sal,1748,4,186,238,590,493,0,25,191,21,0
Castro Daire,1767,…,215,305,516,529,…,…,161,24,0
Mangualde,4688,…,374,892,1354,1493,…,95,429,32,…
Nelas,2829,…,217,352,941,862,…,40,356,52,…
Oliveira de Frades,2960,…,279,502,831,778,…,20,364,176,…
Penalva do Castelo,958,…,177,202,241,215,0,7,91,12,…
Santa Comba Dão,1347,…,184,223,382,343,…,15,165,19,…
São Pedro do Sul,1914,…,207,350,568,553,…,12,205,10,0
Sátão,1497,…,202,336,403,412,…,9,116,13,0
Tondela,5797,12,536,704,1439,2005,…,101,860,128,…
Vila Nova de Paiva,501,9,45,95,168,117,0,…,57,…,0
Viseu,22662,65,1472,2678,5708,7476,16,396,4380,415,42
Vouzela,1522,…,126,273,444,477,0,…,167,…,0
Beira Baixa,13609,59,1236,1540,3712,4283,9,263,2207,280,14
Castelo Branco,9987,37,805,1070,2697,3288,…,195,1655,220,…
Idanha-a-Nova,822,…,126,99,232,179,0,25,139,12,…
Oleiros,605,…,67,104,183,175,0,10,55,…,0
Penamacor,374,5,59,43,119,105,0,…,37,…,0
Proença-a-Nova,987,…,120,144,279,241,…,9,174,13,0
