,"Marriages, Total (N.º)","Marriages, Opposite sex couples, Total (N.º)","Marriages, Opposite sex couples, of which, Only civil (N.º)","Marriages, Opposite sex couples, of which, Catholic (N.º)","Marriages, Same-sex couples, Male, Catholic (N.º)","Marriages, Same-sex couples, Female, Catholic (N.º)","Dissolved marriages, Same-sex couples, Total, Catholic (N.º)","Dissolved marriages, Same-sex couples, by divorce, Catholic (N.º)","Dissolved marriages, Same-sex couples, by death, Catholic (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, MF (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, M (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, F (N.º)","Foreign population with resident status, Same-sex couples, by death, MF (N.º)","Foreign population with resident status, Same-sex couples, by death, M (N.º)","Foreign population with resident status, Same-sex couples, by death, F (N.º)"
Grândola,35,33,29,4,0,2,108,24,84,189,110,79,935,490,445
Odemira,43,41,33,8,2,0,166,28,138,2341,1870,471,12287,8690,3597
Santiago do Cacém,92,92,77,15,0,0,182,51,131,235,141,94,1436,787,649
Sines,48,48,42,6,0,0,76,20,56,217,128,89,1247,686,561
Baixo Alentejo,333,326,267,59,5,2,897,165,732,1075,797,278,5526,3519,2007
Aljustrel,10,10,8,2,0,0,73,15,58,45,32,13,217,139,78
Almodôvar,18,17,14,3,1,0,60,10,50,44,30,14,271,144,127
Alvito,8,8,6,2,0,0,25,3,22,17,9,8,82,36,46
Barrancos,4,3,3,0,1,0,17,2,15,5,1,4,23,11,12
Beja,121,121,93,28,0,0,245,52,193,437,321,116,2080,1326,754
Castro Verde,16,15,13,2,0,1,48,11,37,56,37,19,242,140,102
Cuba,13,13,11,2,0,0,40,5,35,76,62,14,381,299,82
Ferreira do Alentejo,32,32,30,2,0,0,68,15,53,179,154,25,742,562,180
Mértola,17,14,12,2,3,0,60,7,53,17,10,7,184,94,90
Moura,45,45,37,8,0,0,85,16,69,29,14,15,220,117,103
Ourique,11,11,8,3,0,0,30,5,25,32,14,18,427,204,223
Serpa,23,23,19,4,0,0,100,17,83,112,93,19,482,343,139
Vidigueira,15,14,13,1,0,1,46,7,39,26,20,6,175,104,71
Lezíria do Tejo,876,861,589,269,9,6,1811,435,1376,2457,1448,1009,13867,7776,6091
Almeirim,64,61,52,9,2,1,161,43,118,181,102,79,1094,602,492
Alpiarça,17,16,13,3,0,1,58,16,42,40,26,14,344,196,148
Azambuja,111,110,83,26,1,0,168,48,120,265,147,118,1490,775,715
Benavente,102,100,79,20,1,1,205,67,138,313,154,159,2439,1240,1199
Cartaxo,85,85,75,10,0,0,164,41,123,252,145,107,1163,640,523
Chamusca,10,10,9,1,0,0,69,11,58,17,8,9,129,68,61
Coruche,34,33,18,15,0,1,182,26,156,48,26,22,377,201,176
Golegã,90,89,28,61,1,0,57,11,46,14,10,4,141,80,61
Rio Maior,58,56,34,22,1,1,148,39,109,395,261,134,2026,1286,740
Salvaterra de Magos,73,72,55,16,1,0,174,33,141,108,62,46,664,352,312
Santarém,232,229,143,86,2,1,425,100,325,824,507,317,4000,2336,1664
Alto Alentejo,295,291,175,114,2,2,916,162,754,506,299,207,3175,1639,1536
Alter do Chão,6,5,2,3,0,1,32,3,29,28,12,16,123,57,66
Arronches,5,5,3,2,0,0,28,8,20,6,5,1,75,42,33
Avis,14,14,8,6,0,0,38,6,32,8,5,3,64,35,29
Campo Maior,15,15,10,5,0,0,63,13,50,17,6,11,245,113,132
Castelo de Vide,8,8,8,0,0,0,36,8,28,24,13,11,145,68,77
Crato,16,16,10,6,0,0,33,2,31,5,3,2,65,32,33
Elvas,71,70,37,33,1,0,161,30,131,89,60,29,676,327,349
Fronteira,15,15,12,3,0,0,25,2,23,26,15,11,81,43,38
Gavião,21,21,16,4,0,0,39,4,35,2,0,2,22,13,9
Marvão,4,4,3,1,0,0,38,6,32,42,23,19,234,123,111
Monforte,3,3,2,1,0,0,32,3,29,7,4,3,43,27,16
Nisa,10,10,2,8,0,0,73,9,64,19,9,10,105,53,52
Ponte de Sor,34,34,21,13,0,0,125,25,100,84,58,26,440,250,190
Portalegre,65,63,35,27,1,1,153,35,118,136,77,59,746,395,351
Sousel,8,8,6,2,0,0,40,8,32,13,9,4,111,61,50
Alentejo Central,553,544,386,158,6,3,1139,217,922,930,518,412,5395,2841,2554
Alandroal,17,17,14,3,0,0,44,4,40,24,14,10,129,75,54
Arraiolos,28,28,20,8,0,0,54,5,49,21,9,12,155,81,74
Borba,7,7,4,3,0,0,56,15,41,10,6,4,120,51,69
Estremoz,45,44,26,18,0,1,115,12,103,39,22,17,344,170,174
Évora,217,214,149,65,2,1,349,87,262,447,218,229,2494,1262,1232
Montemor-o-Novo,48,47,44,3,1,0,133,26,107,105,69,36,537,289,248
Mora,7,7,6,1,0,0,40,7,33,9,2,7,55,26,29
Mourão,12,12,9,3,0,0,23,3,20,20,13,7,70,43,27
Portel,11,10,8,2,1,0,41,6,35,12,7,5,137,81,56
Redondo,14,14,11,3,0,0,55,8,47,17,11,6,183,100,83
Reguengos de Monsaraz,37,36,29,7,1,0,61,16,45,48,28,20,333,193,140
Vendas Novas,51,50,34,16,1,0,89,15,74,127,88,39,577,338,239
Viana do Alentejo,18,18,10,8,0,0,34,7,27,13,9,4,116,63,53
Vila Viçosa,41,40,22,18,0,1,45,6,39,38,22,16,145,69,76
Algarve,1933,1882,1615,260,26,25,3074,833,2241,13204,7387,5817,109636,58436,51200
Albufeira,261,253,226,27,6,2,248,86,162,1974,1121,853,16779,9042,7737
Alcoutim,31,31,30,1,0,0,31,4,27,18,9,9,243,130,113
Aljezur,48,46,46,0,1,1,38,4,34,263,143,120,2264,1141,1123
Castro Marim,69,69,48,20,0,0,49,13,36,100,59,41,979,541,438
Faro,128,124,97,26,2,2,451,140,311,1543,914,629,10322,5662,4660
Lagoa,60,60,48,12,0,0,147,35,112,569,309,260,5574,2897,2677
Lagos,225,218,197,21,3,4,209,44,165,1248,653,595,12165,6307,5858
Loulé,320,314,257,56,0,6,466,111,355,2373,1266,1107,19364,10069,9295
Monchique,41,38,24,13,2,1,52,6,46,82,48,34,934,509,425
Olhão,70,68,57,9,1,1,303,88,215,647,365,282,5515,2931,2584
Portimão,138,135,119,16,0,3,407,139,268,1840,1012,828,13036,6964,6072
São Brás de Alportel,274,268,247,21,4,2,74,20,54,171,90,81,1683,821,862
Silves,77,76,70,6,0,1,228,52,176,909,537,372,7622,4228,3394
Tavira,75,72,47,24,3,0,197,48,149,832,498,334,7406,4108,3298
Vila do Bispo,61,57,57,0,3,1,43,9,34,256,139,117,2446,1230,1216
Vila Real de Santo António,55,53,45,8,1,1,131,34,97,379,224,155,3304,1856,1448
R. A. Açores,919,900,652,246,12,7,1630,581,1049,890,441,449,5105,2575,2530
Santa Maria,10,10,7,3,0,0,39,9,30,39,19,20,204,107,97
Vila do Porto,10,10,7,3,0,0,39,9,30,39,19,20,204,107,97
São Miguel,544,530,403,125,10,4,881,365,516,411,198,213,2319,1175,1144
Lagoa (R.A.A.),132,127,114,13,3,2,92,33,59,30,16,14,196,111,85
Nordeste,21,20,16,4,1,0,38,9,29,10,3,7,70,34,36
Ponta Delgada,215,208,149,59,5,2,483,226,257,294,138,156,1553,779,774
Povoação,20,19,14,5,1,0,46,13,33,10,3,7,98,51,47
Ribeira Grande,105,105,71,32,0,0,163,68,95,52,33,19,301,157,144
Vila Franca do Campo,51,51,39,12,0,0,59,16,43,15,5,10,101,43,58
Terceira,213,208,138,70,2,3,394,118,276,151,65,86,764,370,394
Angra do Heroísmo,162,157,102,55,2,3,239,66,173,101,43,58,508,253,255
Vila da Praia da Vitória,51,51,36,15,0,0,155,52,103,50,22,28,256,117,139
Graciosa,7,7,3,4,0,0,31,10,21,14,9,5,58,32,26
Santa Cruz da Graciosa,7,7,3,4,0,0,31,10,21,14,9,5,58,32,26
São Jorge,19,19,15,4,0,0,64,15,49,28,13,15,161,77,84
Calheta (R.A.A.),3,3,2,1,0,0,31,7,24,5,1,4,42,24,18
Velas,16,16,13,3,0,0,33,8,25,23,12,11,119,53,66
Pico,62,62,44,18,0,0,112,34,78,87,49,38,571,294,277
Lajes do Pico,15,15,13,2,0,0,43,12,31,24,12,12,179,79,100
Madalena,32,32,19,13,0,0,51,15,36,40,25,15,238,124,114
São Roque do Pico,15,15,12,3,0,0,18,7,11,23,12,11,154,91,63
Faial,53,53,34,19,0,0,82,22,60,134,78,56,833,428,405
Horta,53,53,34,19,0,0,82,22,60,134,78,56,833,428,405
Flores,10,10,8,2,0,0,26,7,19,23,9,14,183,87,96
Lajes das Flores,3,3,3,0,0,0,8,1,7,18,7,11,126,60,66
Santa Cruz das Flores,7,7,5,2,0,0,18,6,12,5,2,3,57,27,30
Corvo,1,1,0,1,0,0,1,1,0,3,1,2,12,5,7
Corvo,1,1,0,1,0,0,1,1,0,3,1,2,12,5,7
R. A. Madeira,1139,1110,796,312,11,18,1655,553,1102,2103,1047,1056,11793,5848,5945
Calheta (R.A.M.),76,71,56,15,1,4,87,23,64,210,102,108,1178,601,577
Câmara de Lobos,92,90,56,34,1,1,194,66,128,94,45,49,529,262,267
