,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Carregal do Sal,3335,3157,112,107,2329,2216,894,834
Castro Daire,5639,5335,214,206,3948,3754,1477,1375
Mangualde,6223,5893,188,179,4437,4222,1598,1492
Nelas,4698,4463,173,169,3270,3115,1255,1179
Oliveira de Frades,3087,2923,109,103,2157,2057,821,763
Penalva do Castelo,2685,2519,97,89,1874,1772,714,658
Santa Comba Dão,4073,3857,149,141,2843,2702,1081,1014
São Pedro do Sul,5734,5451,203,196,4061,3880,1470,1375
Sátão,3520,3309,132,126,2463,2331,925,852
Tondela,9793,9232,372,350,6892,6547,2529,2335
Vila Nova de Paiva,1548,1442,45,42,1061,997,442,403
Viseu,25403,24204,950,890,18150,17390,6303,5924
Vouzela,3622,3460,110,103,2586,2483,926,874
Beira Baixa,30056,28421,1416,1368,20800,19747,7840,7306
Castelo Branco,17012,16140,892,863,11853,11290,4267,3987
Idanha-a-Nova,3791,3537,128,124,2622,2457,1041,956
Oleiros,2476,2355,112,110,1676,1599,688,646
Penamacor,2016,1890,72,71,1392,1313,552,506
Proença-a-Nova,3221,3028,145,139,2199,2070,877,819
Vila Velha de Ródão,1540,1471,67,61,1058,1018,415,392
Médio Tejo,82518,78111,6606,6436,54756,52026,21156,19649
Abrantes,14339,13578,1269,1237,9271,8816,3799,3525
Alcanena,5041,4722,379,372,3502,3302,1160,1048
Constância,1132,1086,104,100,730,701,298,285
Entroncamento,5001,4756,397,381,3353,3199,1251,1176
Ferreira do Zêzere,3279,3098,336,329,2071,1958,872,811
Mação,3138,2928,156,150,2112,1980,870,798
Ourém,13096,12428,1152,1128,8722,8295,3222,3005
Sardoal,1502,1440,154,151,939,904,409,385
Sertã,5585,5296,321,312,3682,3507,1582,1477
Tomar,14196,13432,1196,1162,9323,8863,3677,3407
Torres Novas,12474,11845,917,896,8546,8144,3011,2805
Vila de Rei,1526,1416,61,56,1043,976,422,384
Vila Nova da Barquinha,2209,2086,164,162,1462,1381,583,543
Beiras e Serra da Estrela,81516,77044,3677,3511,56821,53990,21018,19543
Almeida,2403,2254,94,89,1677,1583,632,582
Belmonte,2352,2239,121,117,1648,1579,583,543
Celorico da Beira,2379,2245,102,93,1624,1537,653,615
Covilhã,19225,18323,858,831,13601,13025,4766,4467
Figueira de Castelo Rodrigo,2034,1883,78,72,1376,1291,580,520
Fornos de Algodres,1684,1557,81,77,1126,1041,477,439
Fundão,9848,9294,399,380,6796,6448,2653,2466
Gouveia,5634,5337,224,214,4007,3817,1403,1306
Guarda,11513,10894,587,555,7999,7601,2927,2738
Manteigas,1513,1436,73,72,1070,1020,370,344
Mêda,1893,1777,89,87,1264,1192,540,498
