,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Mesão Frio,369765,211931,88768,88768,76763,62873,10419,3152,0,0,1350,1350
Moimenta da Beira,271174,230608,4978,0,58698,58698,95735,437,75546,0,8800,6317
Murça,55961,55961,0,0,55961,55961,0,0,0,0,0,0
Penedono,297665,295758,88417,0,30130,21031,92279,17955,0,1054,8713,8713
Peso da Régua,124730,124730,0,0,2540,2540,9605,4980,0,1125,82500,82500
Sabrosa,207232,185584,19726,8626,26446,26446,129745,9500,109120,0,9667,7800
Santa Marta de Penaguião,164336,164336,0,0,41490,26299,0,0,0,0,96467,31088
São João da Pesqueira,400667,400667,68218,68218,103084,103084,26640,1920,0,0,117376,43587
Sernancelhe,427003,420543,27026,15997,105468,72059,83425,0,0,5290,119238,0
Tabuaço,215154,128797,45011,24898,38457,38457,2300,2300,0,0,18650,18650
Tarouca,471115,430460,113195,113195,47758,29282,62395,1300,0,0,11998,11998
Torre de Moncorvo,395154,395154,33212,20000,147965,99687,60836,0,0,0,9600,0
Vila Nova de Foz Côa,404779,404779,50000,40000,71563,70134,93736,72756,15630,0,36780,36780
Vila Real,2158824,1904777,242879,205079,501106,282601,587815,151775,225,0,548148,547810
Terras de Trás-os-Montes,7006600,4884928,1025089,293793,642290,374602,1170623,306927,245853,281008,1030932,461705
Alfândega da Fé,628928,628928,306769,0,93456,731,102112,2556,47355,0,38080,38080
Bragança,2923779,1910627,315312,162325,188999,86927,678095,80839,196765,196614,457955,234327
Macedo de Cavaleiros,216770,216770,59785,59785,5309,5309,6905,6905,0,0,78438,78438
Miranda do Douro,477808,301885,45619,0,14176,14176,8245,3100,0,0,23250,23250
