,"Média de alunas/os matriculadas/os por computador, Total (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino secundário, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Total, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino secundário, 3º Ciclo (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Figueira da Foz,2.2,2.5,2.1,2,2.4,2.3,2.5,2.1,2,2.4
Góis,1,1.1,0.9,1,//,1.3,1.4,1.2,1.3,//
Lousã,1.6,1.7,1.9,2,1.1,1.6,1.7,1.9,2,1.1
Mealhada,2.2,3,2.2,1.8,2,2.4,3,2.2,1.8,3
Mira,2.2,3.2,2.3,1.8,1.7,2.8,3.9,5.8,2.1,2
Miranda do Corvo,1.8,2.1,1.6,1.6,1.9,1.8,2.2,1.6,1.6,1.9
Montemor-o-Velho,2.4,2.9,2.4,2.4,1.9,2.4,2.9,2.4,2.4,1.9
Mortágua,1.6,2.3,1.4,1.5,1.4,1.6,2.3,1.4,1.5,1.4
Oliveira do Hospital,1.6,1.8,1.3,1.5,1.7,1.6,1.8,1.3,1.5,1.7
Pampilhosa da Serra,1.1,1.1,1,1,1,1.7,1.8,1.6,1.7,1.6
Penacova,1.7,1.5,1.2,1.4,2.5,1.7,1.7,1.2,1.4,2.6
Penela,1,1.1,1,1.1,0.9,1.1,1.2,1.1,1.2,0.9
Soure,1.8,2.4,2.2,1.5,1.4,1.8,2.4,2.2,1.5,1.4
Tábua,1.7,1.9,1.2,1.6,1.8,1.7,2,1.3,1.7,1.8
Vila Nova de Poiares,1.2,1.1,1.2,1.1,1.3,1.2,1.1,1.2,1.2,1.3
Região de Leiria,2.1,2.1,2,2.2,2.2,2.2,2.1,2.1,2.3,2.3
Alvaiázere,1.2,1.3,1.4,1.6,0.9,1.2,1.3,1.4,1.6,0.9
Ansião,1.5,1.3,1.8,2.3,1.3,1.5,1.3,1.9,2.3,1.3
Batalha,2.6,2.9,2.3,2.6,2.6,2.6,2.9,2.3,2.6,2.6
Castanheira de Pêra,0.7,0.8,0.7,0.7,//,0.7,0.8,0.7,0.7,//
Figueiró dos Vinhos,0.9,1,0.9,0.9,0.9,0.9,1.1,0.9,0.9,0.9
Leiria,2.4,2.1,2.2,2.5,2.8,2.5,2.2,2.4,2.7,2.8
Marinha Grande,2.2,2.1,2,2.2,2.7,2.3,2.1,2,2.2,2.7
Pedrógão Grande,0.8,0.9,0.6,0.6,0.9,0.8,0.9,0.6,0.6,0.9
Pombal,2.2,2.2,2.3,2.3,2.1,2.2,2.2,2.3,2.3,2.1
Porto de Mós,2.1,2.4,2.3,1.7,2.4,2.3,2.5,2.3,1.8,2.6
Viseu Dão Lafões,1.8,1.7,1.5,1.7,2.1,1.8,1.7,1.5,1.7,2.2
Aguiar da Beira,1.2,2.3,0.9,1,1,1.2,2.3,0.9,1,1
Carregal do Sal,1.1,1,1,1.2,1.6,1.1,1,1,1.2,1.6
Castro Daire,1.3,1.5,1.2,1.1,1.3,1.3,1.5,1.2,1.1,1.3
Mangualde,2,2.2,1.8,1.8,2,2,2.3,1.8,1.8,2
Nelas,1.6,2.5,1.3,1.4,1.4,1.6,2.5,1.3,1.4,1.4
Oliveira de Frades,1.5,1.2,1.4,1.8,2,1.6,1.2,1.4,1.9,2
Penalva do Castelo,1.3,1.7,1.4,1,1.1,1.3,1.7,1.4,1,1.1
Santa Comba Dão,1.4,1.6,1.1,1.4,1.7,1.4,1.6,1.1,1.4,1.7
São Pedro do Sul,1.7,1.8,1.4,1.7,1.8,1.8,1.8,1.5,1.8,1.9
Sátão,1.5,1.5,1,1.3,2.5,1.5,1.5,1,1.3,2.5
Tondela,1.4,1.5,1.2,1.2,1.8,1.5,1.5,1.2,1.3,1.8
Vila Nova de Paiva,1.3,1.7,1,1.2,1.5,1.3,1.7,1,1.2,1.5
Viseu,2.3,1.8,2,2.5,3,2.3,1.9,2,2.5,3.1
Vouzela,1.6,1.6,1.1,1.4,2.3,2.2,2,1.3,2.4,3.6
Beira Baixa,1.7,1.9,1.6,1.7,1.7,1.8,2,1.6,1.7,1.8
Castelo Branco,1.9,2.3,1.7,1.9,1.8,1.9,2.3,1.8,1.9,1.8
Idanha-a-Nova,1.5,1.2,1.4,1.7,2.3,1.9,1.3,1.8,2.3,2.8
Oleiros,1.9,2.2,1.4,1.8,2.2,1.9,2.2,1.4,1.8,2.2
Penamacor,1,1.3,1,0.9,1,1,1.3,1,0.9,1
Proença-a-Nova,1.3,1.7,1.1,1.2,1.2,1.3,1.7,1.1,1.2,1.2
Vila Velha de Ródão,1.1,0.9,1.1,1.3,//,1.1,0.9,1.2,1.4,//
Médio Tejo,1.7,1.7,1.5,1.5,1.9,1.7,1.8,1.5,1.6,2
Abrantes,1.6,1.1,1.7,1.8,2.2,1.7,1.1,1.7,1.8,2.3
Alcanena,1.5,1.8,1.8,1.3,1.4,1.5,1.8,1.8,1.3,1.4
Constância,1.1,1.1,1.1,1.1,1.3,1.1,1.1,1.1,1.1,1.3
Entroncamento,1.9,1.8,2.3,1.9,1.8,1.9,1.8,2.3,1.9,1.8
Ferreira do Zêzere,1.2,1.3,1.2,1.2,1.1,1.3,1.3,1.3,1.3,1.2
Mação,1.2,2.1,1.1,0.9,1.2,1.2,2.1,1.1,0.9,1.2
Ourém,2.1,2.6,1.5,1.7,2.6,2.1,2.6,1.5,1.7,2.6
Sardoal,1.3,2,1,1.1,1.2,1.3,2,1,1.1,1.2
Sertã,2.1,1.9,2,1.9,2.8,3,2.4,2.5,2.5,5.6
Tomar,1.6,2,1.4,1.4,1.7,1.7,2.1,1.4,1.4,1.7
Torres Novas,1.6,1.6,1.4,1.5,1.7,1.6,1.6,1.4,1.5,1.7
Vila de Rei,0.9,0.9,0.9,1,0.8,0.9,1,0.9,1.1,0.8
Vila Nova da Barquinha,1.7,2.3,1.4,1.7,1.5,1.7,2.3,1.4,1.7,1.5
Beiras e Serra da Estrela,1.6,1.9,1.5,1.5,1.7,1.7,1.9,1.5,1.5,1.8
Almeida,1.1,1.1,0.8,1.2,1.3,1.1,1.1,0.8,1.2,1.3
Belmonte,1.1,1.5,0.8,1,1.1,1.1,1.6,0.8,1,1.1
Celorico da Beira,1.3,1.8,1.1,1.1,1.2,1.3,1.8,1.1,1.1,1.2
Covilhã,1.7,2.1,1.7,1.4,1.5,1.7,2.2,1.7,1.4,1.5
Figueira de Castelo Rodrigo,1,1.7,0.7,0.9,0.8,1,1.7,0.7,0.9,0.8
Fornos de Algodres,1.1,1.3,0.9,1.2,1.2,1.1,1.3,0.9,1.2,1.2
Fundão,1.4,1.8,1.2,1.2,1.3,1.4,1.9,1.2,1.2,1.5
Gouveia,1.5,1.2,1.5,1.5,1.8,1.5,1.2,1.5,1.5,1.8
Guarda,2.9,2.7,2.6,3.3,2.9,2.9,2.8,2.8,3.3,2.9
Manteigas,1.3,1.8,0.9,1,1.4,1.3,1.8,0.9,1,1.4
Mêda,1,1.2,0.9,1,1,1,1.2,0.9,1,1
Pinhel,1.3,2.2,0.9,1.2,1.4,1.3,2.2,0.9,1.2,1.4
Sabugal,1.8,2.2,1.6,1.4,1.8,2.1,2.2,1.6,1.8,3.1
Seia,1.8,1.8,1.4,1.7,2.4,1.9,1.8,1.5,1.7,2.6
Trancoso,1.5,1.5,1.2,1.2,1.7,1.5,1.6,1.2,1.3,1.9
A. M. Lisboa,2.1,2,1.9,2.1,2.5,2.2,2.1,2,2.2,2.6
Alcochete,3.3,2.7,3.2,3.5,4.4,3.5,3,3.3,3.5,4.4
Almada,2.1,2,1.9,2.1,2.3,2.1,2,1.9,2.1,2.4
Amadora,1.5,1.5,1.5,1.6,1.7,1.6,1.5,1.5,1.6,1.7
Barreiro,1.9,1.8,1.8,2,1.9,1.9,1.9,1.9,2,2
Cascais,2.5,2.3,2.3,2.7,2.9,2.7,2.4,2.5,2.8,3
