,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Carregal do Sal,286,286,0,147,147,0,0,287,271,0,0,16
Castro Daire,423,423,0,236,236,0,0,410,390,0,0,20
Mangualde,606,606,0,293,291,0,0,613,540,0,0,62
Nelas,436,436,0,271,271,0,0,428,428,0,0,0
Oliveira de Frades,334,334,0,166,166,0,0,312,292,0,0,20
Penalva do Castelo,207,207,0,122,122,0,0,205,184,0,0,21
Santa Comba Dão,324,324,0,187,187,0,0,309,309,0,0,0
São Pedro do Sul,470,470,0,216,216,0,0,438,423,0,0,15
Sátão,333,333,0,186,186,0,0,287,287,0,0,0
Tondela,719,719,0,394,394,0,0,756,714,0,0,42
Vila Nova de Paiva,148,148,0,76,76,0,0,150,132,0,0,0
Viseu,3822,3822,0,2044,2044,0,0,3257,3120,0,0,128
Vouzela,278,278,0,131,131,0,0,308,252,0,0,56
Beira Baixa,2488,2486,0,1332,1330,0,0,2116,1976,0,0,114
Castelo Branco,1819,1817,0,977,975,0,0,1568,1450,0,0,92
Idanha-a-Nova,247,247,0,120,120,0,0,171,160,0,0,11
Oleiros,74,74,0,48,48,0,0,68,68,0,0,0
Penamacor,100,100,0,62,62,0,0,91,80,0,0,11
Proença-a-Nova,184,184,0,86,86,0,0,164,164,0,0,0
Vila Velha de Ródão,64,64,0,39,39,0,0,54,54,0,0,0
Médio Tejo,7518,7518,0,4383,4374,0,0,7122,6873,0,0,181
Abrantes,1005,1005,0,608,603,0,0,1027,985,0,0,34
Alcanena,435,435,0,246,246,0,0,420,420,0,0,0
Constância,168,168,0,106,106,0,0,189,189,0,0,0
Entroncamento,762,762,0,432,432,0,0,660,618,0,0,42
Ferreira do Zêzere,244,244,0,148,148,0,0,237,224,0,0,0
Mação,141,141,0,75,75,0,0,168,136,0,0,32
Ourém,1537,1537,0,943,943,0,0,1472,1441,0,0,0
Sardoal,118,118,0,77,77,0,0,113,113,0,0,0
Sertã,423,423,0,244,244,0,0,405,405,0,0,0
Tomar,1093,1093,0,630,629,0,0,1041,1035,0,0,0
Torres Novas,1263,1263,0,678,675,0,0,1141,1058,0,0,73
Vila de Rei,87,87,0,43,43,0,0,67,67,0,0,0
Vila Nova da Barquinha,242,242,0,153,153,0,0,182,182,0,0,0
Beiras e Serra da Estrela,6031,6031,0,3432,3429,0,0,5619,5183,0,36,316
Almeida,119,119,0,74,74,0,0,116,102,0,0,0
Belmonte,194,194,0,123,123,0,0,169,134,0,0,0
Celorico da Beira,197,197,0,128,128,0,0,177,145,0,0,32
Covilhã,1418,1418,0,818,818,0,0,1286,1155,0,36,95
Figueira de Castelo Rodrigo,152,152,0,78,78,0,0,120,102,0,0,18
Fornos de Algodres,120,120,0,66,66,0,0,131,117,0,0,0
Fundão,776,776,0,441,441,0,0,717,660,0,0,57
Gouveia,350,350,0,189,189,0,0,322,265,0,0,43
Guarda,1325,1325,0,726,726,0,0,1212,1212,0,0,0
Manteigas,57,57,0,34,34,0,0,66,66,0,0,0
Mêda,114,114,0,55,55,0,0,117,103,0,0,14
Pinhel,176,176,0,111,111,0,0,186,186,0,0,0
Sabugal,252,252,0,103,100,0,0,210,203,0,0,0
Seia,584,584,0,346,346,0,0,540,504,0,0,36
Trancoso,197,197,0,140,140,0,0,250,229,0,0,21
A. M. Lisboa,122495,122471,0,65982,64817,368,0,99889,93905,428,32,3623
Alcochete,910,910,0,507,507,0,0,738,718,0,0,20
Almada,7620,7620,0,4170,4134,0,0,6220,5914,0,0,242
Amadora,6532,6532,0,3558,3328,0,0,4945,4287,0,0,441
Barreiro,3438,3438,0,1858,1842,0,0,2916,2822,0,0,94
Cascais,9682,9679,0,5448,5405,0,0,8167,7935,0,0,82
Lisboa,26471,26455,0,14463,14034,265,0,21450,19762,357,32,1087
Loures,8407,8407,0,4324,4249,0,0,6261,5704,0,0,384
Mafra,3794,3794,0,2012,2001,0,0,3101,2970,0,0,57
Moita,2638,2638,0,1379,1379,0,0,2162,1928,0,0,94
Montijo,2387,2383,0,1277,1239,0,0,1819,1697,0,0,39
Odivelas,6015,6015,0,3195,3172,0,0,4969,4706,0,0,146
Oeiras,6686,6686,0,3545,3528,0,0,5622,5501,0,0,78
Palmela,2867,2867,0,1664,1656,0,0,2578,2437,0,0,56
Seixal,6581,6581,0,3452,3423,0,0,5205,5068,0,0,104
Sesimbra,2208,2208,0,1172,1172,0,0,1994,1907,0,0,54
Setúbal,5186,5186,0,3034,2947,48,0,4376,4226,0,0,116
Sintra,15428,15428,0,7947,7914,0,0,12697,12085,0,0,374
Vila Franca de Xira,5645,5644,0,2977,2887,55,0,4669,4238,71,0,155
Alentejo,25761,25745,0,14107,13804,0,0,22150,20532,0,0,1050
Alentejo Litoral,3389,3389,0,1758,1754,0,0,2843,2692,0,0,124
Alcácer do Sal,377,377,0,193,189,0,0,377,351,0,0,14
