,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Pico,12,9,3,10,x,10,0,4,4,0,3,3,0,4,3,1
Lajes do Pico,4,3,1,3,x,3,0,2,2,0,1,1,0,1,1,0
Madalena,5,4,1,5,x,5,0,1,1,0,1,1,0,2,1,1
São Roque do Pico,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Faial,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Horta,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Flores,4,3,1,3,x,3,0,2,2,0,1,1,0,1,1,0
Lajes das Flores,1,1,0,1,x,1,0,1,1,0,0,0,0,0,0,0
Santa Cruz das Flores,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
R. A. Madeira,120,67,53,89,0,67,22,30,25,5,31,26,5,26,20,6
Calheta (R.A.M.),7,5,2,6,0,5,1,1,1,0,1,1,0,1,1,0
Câmara de Lobos,17,12,5,12,0,12,0,3,3,0,3,3,0,2,2,0
Funchal,52,20,32,35,0,20,15,12,7,5,13,8,5,15,9,6
Machico,7,5,2,6,0,5,1,3,3,0,3,3,0,1,1,0
Ponta do Sol,7,6,1,6,0,6,0,1,1,0,1,1,0,1,1,0
Porto Moniz,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ribeira Brava,6,6,0,6,0,6,0,2,2,0,2,2,0,1,1,0
Santa Cruz,14,6,8,9,0,6,3,3,3,0,3,3,0,1,1,0
