,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Castelo Branco,4648,5174,5234,2876,2857,3151,2635,660,172,176,169,41
Idanha-a-Nova,4142,4615,4708,2624,3274,3820,2856,540,206,227,189,39
Oleiros,4110,4685,4661,2635,3156,4027,2612,697,192,216,177,52
Penamacor,3781,4842,4219,2472,3544,4286,3076,993,215,239,200,68
Proença-a-Nova,4236,4843,4837,2568,3491,3711,3342,582,211,207,215,42
Vila Velha de Ródão,5600,5693,6449,3271,3413,3722,3148,606,192,199,186,43
Médio Tejo,5096,5804,5759,3140,2699,2954,2509,996,158,158,158,60
Abrantes,5202,5769,5916,3234,2743,2984,2519,948,163,163,163,58
Alcanena,5098,5655,5712,3072,2894,2922,2872,1171,168,163,173,68
Constância,5668,6457,6487,3424,2806,2641,2908,1020,161,145,171,64
Entroncamento,6832,7304,7722,4223,2554,2815,2404,882,152,150,154,49
Ferreira do Zêzere,4329,5127,4915,2557,2884,2647,3044,1255,179,160,192,76
Mação,4589,4944,5206,2976,2773,2549,3208,756,165,151,193,55
Ourém,4569,5460,5090,2847,2591,3110,2321,925,145,153,141,56
Sardoal,4908,6028,5510,3054,2851,3128,2649,1001,173,173,172,68
Sertã,4344,4909,4996,2697,2606,3013,2320,630,152,156,149,45
Tomar,5084,5699,5782,3109,2986,3456,2585,1213,173,179,168,73
Torres Novas,5407,6229,6055,3315,2572,2671,2506,1026,150,146,153,60
Vila de Rei,4727,5442,5356,3013,2595,3367,2081,659,166,208,138,45
Vila Nova da Barquinha,5727,6695,6428,3594,2060,1950,2173,1038,128,113,143,61
Beiras e Serra da Estrela,4319,4839,4863,2711,2859,2988,2765,925,173,170,176,61
Almeida,3821,4287,4323,2441,3480,4153,3024,1055,195,231,171,70
Belmonte,4270,4811,4781,2688,2943,2996,2895,755,185,174,194,56
Celorico da Beira,3995,4473,4498,2623,2856,2968,2741,1032,163,161,164,69
Covilhã,4688,4931,5296,2877,2769,2893,2684,815,172,170,173,53
Figueira de Castelo Rodrigo,3781,4792,4246,2533,2732,2743,2723,915,181,168,191,66
Fornos de Algodres,3951,4818,4448,2535,2783,2857,2745,997,182,173,186,70
