,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Cinfães,947.02,843.59,918.64,988.17,904.72,929.51,…,1209.97,1110.14,1297.51,1916.94
Felgueiras,908.91,744.7,846.22,847.8,854.27,927.73,…,1527.75,1397,1365.72,4110.45
Lousada,893.75,775.48,800.5,843.37,866.78,903.13,…,1374.33,1341.6,1331.41,1824.32
Marco de Canaveses,904.22,840.21,857.27,841.74,868.03,904.23,927.74,1339.49,1306.76,1047.35,1471.15
Paços de Ferreira,933.65,784.08,787.61,814.9,866.43,1014.04,772.85,1476.38,1459.88,1465.49,956.93
Penafiel,1037.06,961.95,847.22,852.18,884.84,954.14,954.27,1620.71,1749.41,2018.67,2189.19
Resende,880.1,742.76,862.46,852.38,868.21,826.23,//,1287.54,1082.63,974.56,…
Douro,993.68,773.5,804.21,829.12,842.42,930.25,1026.36,1381.75,1469.75,1663.25,1483.25
Alijó,950.64,765.43,820.53,818.36,842.38,914.54,…,1474.8,1411.74,1525.07,…
Armamar,906.84,746.71,762.52,838.75,817.6,905.13,//,1362.68,1320.07,1480.97,//
Carrazeda de Ansiães,882.55,729.98,775.54,812.56,806.52,856.95,//,1511.8,1256.67,…,…
Freixo de Espada à Cinta,900.71,//,757.79,795.34,791.85,816.93,…,1187.64,1260.62,…,//
Lamego,958.03,763.15,810.37,814.36,840.08,932.91,932.74,1270.43,1344.37,1654.8,…
Mesão Frio,855.91,…,770.08,846.38,786.47,905.86,…,…,1058.6,1260.64,//
Moimenta da Beira,877.37,739.21,825.92,793.75,792.75,852.92,…,1280.86,1174.78,1033.46,//
Murça,938.01,701.64,773.41,875.06,824.37,916.03,//,1640.4,1356.44,1232.92,//
Penedono,831.84,…,794.58,792.09,749.67,810.09,//,//,1166.36,…,//
Peso da Régua,1005.07,864.14,836.01,845.67,879.18,991.23,//,1703.18,1347.39,1449,2026.29
Sabrosa,984.87,714.8,834.48,874.39,841.69,909.23,//,1176.76,1477.87,1435.5,885.11
Santa Marta de Penaguião,871.56,…,776.12,794.75,805.96,833.97,…,1669.37,1217.97,1264.07,…
São João da Pesqueira,980.42,781.02,820.08,829.69,826.18,998.13,…,1750.92,1531.87,1771.64,//
Sernancelhe,848.4,//,749.85,768.95,806.75,838.51,//,1114.28,1172.97,823.11,…
Tabuaço,973.43,753.36,798.06,794.28,816.54,958.7,…,1147.37,1591,1488.19,…
Tarouca,855.18,…,812.43,753.32,791.74,855.67,//,1006.54,1348.57,1066.64,//
Torre de Moncorvo,891.67,824.11,755.96,761.33,809.83,880.48,//,1226.63,1242.05,1388.85,…
Vila Nova de Foz Côa,935.43,879.61,834.47,826.61,796.15,955.08,…,1247.17,1307.35,1666.06,//
Vila Real,1115.35,743.26,808.7,875.88,880.24,967.6,1360.87,1446.47,1628.66,1782.67,1121.82
