,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Santa Maria,1779.25,2062.44,1338.32,1012.25,1051.5,…,1135.38,1165.34,971.83,1957.69,2448.92,1372.88
Vila do Porto,1779.25,2062.44,1338.32,1012.25,1051.5,…,1135.38,1165.34,971.83,1957.69,2448.92,1372.88
São Miguel,1141,1219.03,1033.11,984.22,972.27,1089.41,1110.25,1111.27,1105.96,1159.75,1304.67,1023.23
Lagoa (R.A.A.),972.47,991.03,934.74,885.83,889.01,842.4,983.92,975.14,1040.75,972.32,1021.33,917.29
Nordeste,890.24,879.25,903.67,800.62,800.62,//,820.05,824.36,771.05,918.96,932.92,909.66
Ponta Delgada,1239.42,1366.22,1084.02,974.3,935.4,1227.48,1241.69,1232.78,1278.67,1249.13,1443.32,1066.95
Povoação,1036.6,1182.28,876.87,2017.84,2102.76,800.68,972.9,1038.2,823.33,948.58,1030.2,884.54
Ribeira Grande,1001.45,1029.55,951.82,885.52,889.12,843.78,1063.02,1078.2,1004.34,959.63,984.65,935.73
Vila Franca do Campo,879.16,876.42,883.45,825.22,835.79,666.75,791.66,805.85,733.74,924.21,937.24,911.91
Terceira,1097.23,1109.55,1081.2,850,859.04,782.61,1041.87,1048.24,1006.1,1121.26,1156.66,1089.62
Angra do Heroísmo,1106.8,1091.61,1124.35,838.41,844.95,761.13,1044.01,1039.79,1067.83,1133,1136.63,1130.19
Vila da Praia da Vitória,1078.06,1140.44,974.64,876.37,896.43,800.79,1038.06,1063.27,897.49,1096.99,1189.75,985.4
Graciosa,1044.33,1128.81,933.15,808.07,804.42,…,1108.28,1161.02,833.47,1036.99,1147.29,944.01
Santa Cruz da Graciosa,1044.33,1128.81,933.15,808.07,804.42,…,1108.28,1161.02,833.47,1036.99,1147.29,944.01
São Jorge,1008.04,1057.21,958.43,866.54,880.81,…,1008.29,1077.92,897.62,1010.75,1051.34,978.62
Calheta (R.A.A.),945.81,977.98,916.59,919.61,919.61,//,928.9,1001.89,857.56,958.76,960.87,957
Velas,1045.58,1101.13,985.86,847.24,865.29,…,1090.01,1130.42,976.85,1034.97,1095.15,988.38
Pico,976.76,1035.72,913.2,1000.48,1006.17,964.76,1002.93,1017.06,958.29,966.58,1049.98,906.1
Lajes do Pico,924.77,980.13,885.79,812.34,812.34,//,941.11,951.37,926.95,919.97,1008.32,875.26
Madalena,957.06,991.68,922.09,1024.1,1034.75,964.76,881.45,871.44,913.38,975.24,1053.01,922.44
São Roque do Pico,1051.21,1130.72,919.53,…,…,//,1212.31,1222.81,1140.85,981.11,1064.09,893.79
Faial,1153.64,1258.29,1036.59,1369.92,1397.44,1241.5,1075.6,1117.66,927.96,1168.12,1309,1045.92
Horta,1153.64,1258.29,1036.59,1369.92,1397.44,1241.5,1075.6,1117.66,927.96,1168.12,1309,1045.92
