,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Vieira do Minho,1198,633,565,31,21,10,279,233,46,888,379,509
Vila Nova de Famalicão,36685,21207,15478,170,112,58,22867,14374,8493,13648,6721,6927
Vizela,5132,2518,2614,10,7,3,3582,1810,1772,1540,701,839
A. M. Porto,406168,228354,177814,2801,2101,700,137615,93869,43746,265752,132384,133368
Arouca,3927,2447,1480,255,219,36,2265,1613,652,1407,615,792
Espinho,3903,1819,2084,…,…,…,…,…,…,2613,990,1623
Gondomar,16269,9154,7115,65,43,22,5486,3995,1491,10718,5116,5602
Maia,44310,26082,18228,71,40,31,13346,9419,3927,30893,16623,14270
Matosinhos,44735,24611,20124,86,58,28,9350,7188,2162,35299,17365,17934
Oliveira de Azeméis,18154,11473,6681,69,30,39,12969,8787,4182,5116,2656,2460
Paredes,16193,10176,6017,110,42,68,9294,6624,2670,6789,3510,3279
Porto,94078,47421,46657,134,97,37,7938,5589,2349,86006,41735,44271
Póvoa de Varzim,12094,6418,5676,702,541,161,4106,2572,1534,7286,3305,3981
Santa Maria da Feira,27879,16541,11338,64,51,13,15727,9961,5766,12088,6529,5559
Santo Tirso,14073,7754,6319,120,90,30,8942,5448,3494,5011,2216,2795
São João da Madeira,8742,4395,4347,…,…,0,…,…,…,4064,…,…
Trofa,11995,7485,4510,77,53,24,6497,4144,2353,5421,3288,2133
Vale de Cambra,5994,3608,2386,…,…,…,…,…,…,1588,…,…
Valongo,13080,8133,4947,69,59,10,5602,4121,1481,7409,3953,3456
Vila do Conde,19299,11425,7874,841,682,159,8330,5443,2887,10128,5300,4828
Vila Nova de Gaia,51443,29412,22031,119,82,37,17408,12598,4810,33916,16732,17184
Alto Tâmega,10749,5909,4840,195,152,43,3663,3037,626,6891,2720,4171
Boticas,760,360,400,30,…,…,371,…,…,359,111,248
Chaves,5341,2861,2480,74,53,21,1457,1234,223,3810,1574,2236
Montalegre,882,478,404,44,35,9,273,234,39,565,209,356
Ribeira de Pena,1021,686,335,7,…,…,574,…,…,440,160,280
Valpaços,1432,715,717,19,…,…,413,…,…,1000,363,637
Vila Pouca de Aguiar,1313,809,504,21,14,7,575,492,83,717,303,414
Tâmega e Sousa,77891,44802,33089,746,558,188,48127,30606,17521,29018,13638,15380
Amarante,8014,5057,2957,109,73,36,4203,3342,861,3702,1642,2060
Baião,2047,1310,737,59,34,25,1164,913,251,824,363,461
Castelo de Paiva,2646,1301,1345,85,69,16,1571,861,710,990,371,619
Celorico de Basto,2066,1167,899,50,43,7,1143,762,381,873,362,511
Cinfães,2791,2236,555,21,14,7,1995,1880,115,775,342,433
Felgueiras,15874,8542,7332,103,79,24,11828,6481,5347,3943,1982,1961
Lousada,8959,5033,3926,61,43,18,5721,3220,2501,3177,1770,1407
Marco de Canaveses,8236,5433,2803,90,72,18,4945,3777,1168,3201,1584,1617
Paços de Ferreira,12602,7066,5536,20,15,5,8067,4609,3458,4515,2442,2073
Penafiel,13712,7102,6610,91,72,19,7159,4458,2701,6462,2572,3890
Resende,944,555,389,57,44,13,331,303,28,556,208,348
Douro,25964,13681,12283,1645,1139,506,7174,5450,1724,17145,7092,10053
Alijó,1325,673,652,146,109,37,342,222,120,837,342,495
Armamar,810,464,346,128,94,34,253,190,63,429,180,249
Carrazeda de Ansiães,531,258,273,36,24,12,107,93,14,388,141,247
Freixo de Espada à Cinta,433,204,229,11,…,…,116,…,…,306,91,215
Lamego,3334,1789,1545,150,112,38,998,762,236,2186,915,1271
Mesão Frio,361,176,185,30,21,9,87,76,11,244,79,165
Moimenta da Beira,1344,683,661,97,62,35,334,276,58,913,345,568
Murça,509,271,238,34,26,8,160,125,35,315,120,195
Penedono,316,160,156,55,27,28,72,65,7,189,68,121
Peso da Régua,1976,978,998,102,67,35,413,304,109,1461,607,854
Sabrosa,828,409,419,180,107,73,248,169,79,400,133,267
Santa Marta de Penaguião,463,260,203,63,50,13,164,131,33,236,79,157
São João da Pesqueira,923,517,406,243,174,69,221,169,52,459,174,285
Sernancelhe,782,456,326,22,…,…,295,…,…,465,190,275
Tabuaço,455,241,214,57,36,21,167,129,38,231,76,155
Tarouca,1079,715,364,33,30,3,499,426,73,547,259,288
Torre de Moncorvo,783,398,385,58,45,13,188,151,37,537,202,335
Vila Nova de Foz Côa,805,413,392,77,60,17,291,227,64,437,126,311
Vila Real,8907,4616,4291,123,70,53,2219,1581,638,6565,2965,3600
Terras de Trás-os-Montes,14445,7137,7308,471,317,154,3501,2672,829,10473,4148,6325
Alfândega da Fé,373,185,188,26,20,6,75,62,13,272,103,169
Bragança,5800,2941,2859,61,52,9,1616,1202,414,4123,1687,2436
Macedo de Cavaleiros,1705,826,879,92,62,30,311,249,62,1302,515,787
Miranda do Douro,862,411,451,26,…,…,217,…,…,619,220,399
Mirandela,3159,1540,1619,88,67,21,703,515,188,2368,958,1410
Mogadouro,907,457,450,36,25,11,169,140,29,702,292,410
Vila Flor,698,340,358,128,61,67,161,131,30,409,148,261
Vimioso,407,169,238,8,…,…,105,…,…,294,74,220
Vinhais,534,268,266,6,…,…,144,…,…,384,151,233
Centro,456336,252405,203931,11818,8117,3701,180047,125081,54966,264471,119207,145264
Oeste,70504,38846,31658,3964,2781,1183,23690,16554,7136,42850,19511,23339
Alcobaça,12422,6789,5633,570,374,196,5931,4058,1873,5921,2357,3564
Alenquer,8852,5706,3146,161,120,41,4177,2959,1218,4514,2627,1887
Arruda dos Vinhos,2803,1776,1027,59,37,22,640,482,158,2104,1257,847
Bombarral,1808,996,812,259,136,123,419,341,78,1130,519,611
Cadaval,1918,968,950,221,163,58,553,411,142,1144,394,750
Caldas da Rainha,11230,5330,5900,323,229,94,2476,1749,727,8431,3352,5079
Lourinhã,3877,2235,1642,479,358,121,1131,909,222,2267,968,1299
Nazaré,2456,1195,1261,92,66,26,684,399,285,1680,730,950
Óbidos,2549,1366,1183,127,91,36,647,442,205,1775,833,942
Peniche,4253,2102,2151,468,380,88,1212,694,518,2573,1028,1545
Sobral de Monte Agraço,1369,796,573,35,20,15,545,351,194,789,425,364
Torres Vedras,16967,9587,7380,1170,807,363,5275,3759,1516,10522,5021,5501
Região de Aveiro,91882,52196,39686,769,529,240,47302,31031,16271,43811,20636,23175
Águeda,12701,7031,5670,78,56,22,7968,4999,2969,4655,1976,2679
Albergaria-a-Velha,6468,3949,2519,69,43,26,3789,2633,1156,2610,1273,1337
Anadia,5729,3038,2691,153,101,52,3197,2104,1093,2379,833,1546
Aveiro,25396,14344,11052,74,54,20,8991,6490,2501,16331,7800,8531
Estarreja,6449,4392,2057,51,32,19,3345,2472,873,3053,1888,1165
Ílhavo,7028,3764,3264,150,122,28,3596,2102,1494,3282,1540,1742
Murtosa,1392,681,711,53,40,13,704,420,284,635,221,414
Oliveira do Bairro,5731,3207,2524,13,8,5,3296,2142,1154,2422,1057,1365
Ovar,14188,7967,6221,66,40,26,8286,4935,3351,5836,2992,2844
Sever do Vouga,2075,1337,738,28,14,14,1246,947,299,801,376,425
Vagos,4725,2486,2239,34,19,15,2884,1787,1097,1807,680,1127
Região de Coimbra,82157,44046,38111,2022,1393,629,27533,19018,8515,52602,23635,28967
Arganil,1738,842,896,52,44,8,626,437,189,1060,361,699
Cantanhede,7374,4057,3317,271,162,109,3423,2433,990,3680,1462,2218
Coimbra,29131,15035,14096,162,100,62,5534,3877,1657,23435,11058,12377
