,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Ourém,10516,399,1037,907,1244,2411,104,2064,1098,1251
Sardoal,270,3,19,30,24,76,7,42,20,49
Sertã,2401,130,152,183,228,562,61,477,309,297
Tomar,5382,126,749,602,578,1427,149,856,330,565
Torres Novas,6596,220,588,650,1121,1388,63,958,1011,594
Vila de Rei,534,16,46,25,28,128,13,76,19,183
Vila Nova da Barquinha,490,22,28,52,36,158,5,59,55,75
Beiras e Serra da Estrela,34214,1263,3998,2887,3436,8395,592,4650,4369,4614
Almeida,792,25,41,43,72,300,23,42,124,122
Belmonte,867,30,55,79,111,214,15,122,129,111
Celorico da Beira,894,33,43,43,60,222,20,95,317,61
Covilhã,7126,205,1043,739,845,1649,63,859,891,827
Figueira de Castelo Rodrigo,616,28,50,41,67,191,34,47,31,127
Fornos de Algodres,568,29,36,28,44,150,13,110,74,84
Fundão,4744,118,748,427,444,803,107,684,448,963
Gouveia,1477,52,158,96,149,516,36,135,107,228
Guarda,9022,409,1167,868,878,2048,105,1097,1522,926
Manteigas,455,20,44,33,41,127,12,53,31,94
Mêda,543,25,43,25,66,159,26,93,39,67
Pinhel,972,75,52,79,85,223,20,197,89,152
Sabugal,1404,70,115,88,140,474,43,111,138,225
Seia,3287,85,273,205,321,953,23,765,242,420
Trancoso,1447,59,130,93,113,366,52,240,187,207
