,"Nurses per 1 000 inhabitants , No., 2019","Medical doctors per 1 000 inhabitants, No., 2019","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2019","Hospitalisations in hospitals per 1 000 inhabitants , No., 2018 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2018 Po","Medical appointments in hospitals per inhabitant, No., 2018 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2018 Po","Annual bed-occupancy rate in hospitals, %, 2018 Po"
Pombal,4.1,2.3,0.4,24.3,0,0.3,0.8,81.4
Porto de Mós,2.4,1.2,0.4,0,0,0,0,//
Viseu Dão Lafões,8.2,4.5,0.4,…,…,…,...,…
Aguiar da Beira,4.9,1.7,0.4,0,0,0,0,//
Carregal do Sal,3.1,1.6,0.5,0,0,0,0,//
Castro Daire,3.5,1.4,0.4,0,0,0,0,//
Mangualde,3.5,1.9,0.4,0,0,0,0,//
Nelas,3.6,2.8,0.5,0,0,0,0,//
Oliveira de Frades,3,1.8,0.3,0,0,0,0,//
Penalva do Castelo,4.5,2.1,0.3,0,0,0,0,//
Santa Comba Dão,4.1,2.5,0.4,0,0,0,0,//
São Pedro do Sul,3.9,3.9,0.6,0,0,0,0,//
Sátão,5.3,2.2,0.3,0,0,0,0,//
Tondela,5.4,2.5,0.5,15.1,5.6,0.4,1.1,71.6
Vila Nova de Paiva,3.8,1.3,0.2,0,0,0,0,//
Viseu,14.6,8,0.3,…,…,…,...,…
Vouzela,5,1.5,0.4,0,0,0,0,//
Beira Baixa,8.5,3.6,0.5,97,18.6,1,2.8,73.1
Castelo Branco,10.9,4.8,0.3,150.4,18.6,1.6,4.3,73.1
Idanha-a-Nova,5,1.1,1,0,0,0,0,//
Oleiros,3,0.8,0.6,0,0,0,0,//
Penamacor,2.9,1.1,1.3,0,0,0,0,//
Proença-a-Nova,5.3,1.9,0.3,0,0,0,0,//
Vila Velha de Ródão,1.6,1.9,0.3,0,0,0,0,//
Médio Tejo,5.5,2.4,0.4,…,…,…,...,…
Abrantes,8.2,3,0.4,0,0,0,0,//
Alcanena,1.9,1.5,0.4,…,…,…,...,…
Constância,5,1.2,0.7,5.5,0,1.2,5.3,0.4
Entroncamento,4,3.5,0.2,…,…,…,...,…
Ferreira do Zêzere,1.6,0.8,0.5,0,0,0,0,//
Mação,1.9,0.8,0.8,0,0,0,0,//
Ourém,3.2,1.5,0.5,0,0,0,0,//
Sardoal,3.2,2.7,0.5,0,0,0,0,//
Sertã,3.3,1.2,0.3,0,0,0,0,//
Tomar,3.9,3.1,0.4,0,0,0,0,//
Torres Novas,12.7,3.6,0.3,454.8,28.1,5.2,11.9,93.4
Vila de Rei,4.8,0.9,0.3,0,0,0,0,//
Vila Nova da Barquinha,3.6,1.3,0.4,0,0,0,0,//
Beiras e Serra da Estrela,8.3,3.8,0.5,…,…,…,...,…
