,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Portimão,55,52,47,4,1,2,362,113,249,1731,922,809,11401,5956,5445
São Brás de Alportel,135,130,125,4,4,1,66,11,55,205,105,100,1520,742,778
Silves,50,48,44,3,1,1,233,50,183,1001,588,413,7087,3859,3228
Tavira,27,27,26,1,0,0,205,44,161,1157,672,485,7120,3905,3215
Vila do Bispo,46,43,43,0,1,2,37,11,26,429,220,209,2223,1104,1119
Vila Real de Santo António,28,28,28,0,0,0,114,24,90,465,272,193,3297,1823,1474
R. A. Açores,558,547,501,45,7,4,1539,570,969,495,254,241,4073,2062,2011
Santa Maria,13,13,13,0,0,0,32,13,19,16,8,8,139,79,60
Vila do Porto,13,13,13,0,0,0,32,13,19,16,8,8,139,79,60
São Miguel,325,319,293,26,4,2,860,361,499,239,127,112,1760,896,864
Lagoa (R.A.A.),54,54,53,1,0,0,83,25,58,25,18,7,157,90,67
Nordeste,14,13,11,2,0,1,32,5,27,5,1,4,49,25,24
Ponta Delgada,141,136,124,12,4,1,471,223,248,165,89,76,1163,593,570
Povoação,19,19,15,4,0,0,38,13,25,7,4,3,84,45,39
Ribeira Grande,64,64,61,3,0,0,168,75,93,24,9,15,221,100,121
Vila Franca do Campo,33,33,29,4,0,0,68,20,48,13,6,7,86,43,43
Terceira,126,122,109,13,2,2,362,131,231,72,32,40,616,323,293
Angra do Heroísmo,99,95,83,12,2,2,217,79,138,47,24,23,398,217,181
Vila da Praia da Vitória,27,27,26,1,0,0,145,52,93,25,8,17,218,106,112
Graciosa,10,10,9,1,0,0,28,4,24,7,3,4,46,23,23
Santa Cruz da Graciosa,10,10,9,1,0,0,28,4,24,7,3,4,46,23,23
São Jorge,16,16,13,3,0,0,62,14,48,16,7,9,114,53,61
Calheta (R.A.A.),7,7,4,3,0,0,25,5,20,8,4,4,30,19,11
Velas,9,9,9,0,0,0,37,9,28,8,3,5,84,34,50
Pico,43,42,42,0,1,0,90,24,66,52,28,24,535,265,270
Lajes do Pico,8,8,8,0,0,0,28,9,19,16,10,6,173,77,96
Madalena,27,26,26,0,1,0,41,9,32,26,12,14,227,114,113
São Roque do Pico,8,8,8,0,0,0,21,6,15,10,6,4,135,74,61
Faial,21,21,18,2,0,0,74,17,57,88,47,41,674,331,343
Horta,21,21,18,2,0,0,74,17,57,88,47,41,674,331,343
Flores,4,4,4,0,0,0,26,5,21,5,2,3,180,88,92
Lajes das Flores,3,3,3,0,0,0,14,1,13,4,1,3,113,52,61
Santa Cruz das Flores,1,1,1,0,0,0,12,4,8,1,1,0,67,36,31
Corvo,0,0,0,0,0,0,5,1,4,0,0,0,9,4,5
Corvo,0,0,0,0,0,0,5,1,4,0,0,0,9,4,5
R. A. Madeira,612,593,509,84,12,7,1519,511,1008,1418,698,720,9455,4562,4893
Calheta (R.A.M.),36,35,32,3,1,0,55,12,43,181,91,90,912,451,461
Câmara de Lobos,52,52,43,9,0,0,160,60,100,47,17,30,408,196,212
Funchal,264,251,203,48,8,5,634,199,435,708,367,341,4869,2391,2478
Machico,57,57,52,5,0,0,117,37,80,49,16,33,335,148,187
Ponta do Sol,29,27,24,3,1,1,63,17,46,82,42,40,453,204,249
Porto Moniz,8,8,7,1,0,0,25,6,19,23,8,15,104,43,61
Ribeira Brava,18,18,12,6,0,0,88,29,59,89,42,47,472,212,260
Santa Cruz,106,103,94,9,2,1,247,114,133,151,74,77,1287,625,662
Santana,13,13,13,0,0,0,54,11,43,22,10,12,112,47,65
São Vicente,9,9,9,0,0,0,43,16,27,42,21,21,160,79,81
Porto Santo,20,20,20,0,0,0,33,10,23,24,10,14,343,166,177
