,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Pampilhosa da Serra,542,40,29,35,36,168,11,57,15,151
Penacova,1680,83,77,103,145,297,22,456,332,165
Penela,1411,43,200,182,102,264,38,198,228,155
Soure,1798,72,138,141,145,512,103,317,159,211
Tábua,2566,85,111,159,213,313,27,677,676,305
Vila Nova de Poiares,1329,34,88,129,108,208,18,165,366,213
Região de Leiria,72185,3236,6355,7996,8626,11983,607,14571,10938,7850
Alvaiázere,1046,61,60,64,80,212,19,170,258,122
Ansião,2178,96,154,150,222,396,23,390,447,299
Batalha,4345,190,280,427,487,594,46,1040,797,484
Castanheira de Pêra,341,11,35,31,19,87,4,24,90,40
Figueiró dos Vinhos,611,20,64,40,64,156,24,111,31,101
Leiria,35973,1472,3746,4114,4770,6533,303,7012,4115,3895
Marinha Grande,10641,454,939,1601,1132,1141,12,2373,1995,990
Pedrógão Grande,534,24,60,52,43,114,17,87,26,111
Pombal,11808,706,732,1086,1271,2059,124,2383,2247,1196
Porto de Mós,4708,202,285,431,538,691,35,981,932,612
Viseu Dão Lafões,50752,1701,4693,4765,5468,10635,738,9362,7636,5730
Aguiar da Beira,876,55,72,50,91,191,19,142,112,144
Carregal do Sal,1764,46,151,186,194,307,23,358,268,228
Castro Daire,1823,57,95,117,142,535,26,297,364,190
Mangualde,4675,101,258,302,463,608,16,924,1672,328
Nelas,2912,95,217,294,214,386,21,646,638,401
Oliveira de Frades,3048,76,255,436,325,300,98,840,391,325
Penalva do Castelo,1006,32,40,47,74,250,17,139,251,156
Santa Comba Dão,1344,99,103,102,109,366,40,164,158,202
São Pedro do Sul,2075,60,105,138,192,624,84,396,179,296
Sátão,1329,41,55,65,90,331,22,396,191,138
Tondela,5658,203,440,611,770,801,130,688,1044,963
Vila Nova de Paiva,525,37,41,28,31,176,10,95,60,47
Viseu,22034,757,2777,2257,2656,5505,198,4017,1743,2118
Vouzela,1683,42,84,132,117,255,34,260,565,194
Beira Baixa,13590,417,1222,1416,1470,3336,343,2048,1482,1856
Castelo Branco,9762,286,913,1001,1117,2588,136,1540,1025,1156
Idanha-a-Nova,913,36,63,64,105,209,89,83,32,232
Oleiros,639,21,42,102,47,103,17,112,90,105
Penamacor,463,13,47,23,50,107,31,44,57,91
Proença-a-Nova,997,30,111,88,75,201,64,220,89,119
Vila Velha de Ródão,816,31,46,138,76,128,6,49,189,153
Médio Tejo,43256,1401,4063,4148,5025,10269,765,7417,4684,5463
Abrantes,5878,154,654,666,531,1395,90,781,805,793
Alcanena,3495,134,253,375,430,606,4,731,417,543
