,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Elvas,952,952,0,485,470,0,0,717,645,0,0,55
Fronteira,72,72,0,58,58,0,0,81,81,0,0,0
Gavião,85,85,0,52,52,0,0,90,90,0,0,0
Marvão,67,67,0,26,26,0,0,68,68,0,0,0
Monforte,127,125,0,54,49,0,0,97,91,0,0,0
Nisa,122,122,0,70,67,0,0,116,93,0,0,13
Ponte de Sor,487,486,0,283,280,0,0,410,386,0,0,17
Portalegre,778,778,0,409,409,0,0,758,717,0,0,21
Sousel,127,127,0,97,97,0,0,117,117,0,0,0
Alentejo Central,5356,5353,0,2950,2892,0,0,4647,4344,0,0,185
Alandroal,133,133,0,82,82,0,0,102,102,0,0,0
Arraiolos,172,172,0,107,107,0,0,166,148,0,0,18
Borba,201,201,0,117,117,0,0,151,151,0,0,0
Estremoz,397,397,0,210,205,0,0,358,344,0,0,0
Évora,2159,2156,0,1150,1126,0,0,1825,1735,0,0,43
Montemor-o-Novo,485,485,0,269,269,0,0,413,384,0,0,17
Mora,99,99,0,55,55,0,0,101,101,0,0,0
Mourão,100,100,0,61,50,0,0,66,53,0,0,0
Portel,174,174,0,96,96,0,0,129,118,0,0,11
Redondo,229,229,0,113,113,0,0,159,136,0,0,23
Reguengos de Monsaraz,365,365,0,225,207,0,0,404,335,0,0,37
Vendas Novas,413,413,0,228,228,0,0,380,380,0,0,0
Viana do Alentejo,179,179,0,101,101,0,0,165,165,0,0,0
Vila Viçosa,250,250,0,136,136,0,0,228,192,0,0,36
Algarve,19010,19004,0,10423,10269,75,0,16291,15042,46,0,942
Albufeira,1948,1948,0,1037,1036,0,0,1706,1610,0,0,80
Alcoutim,53,53,0,25,25,0,0,50,50,0,0,0
Aljezur,228,228,0,107,107,0,0,204,204,0,0,0
Castro Marim,266,266,0,120,120,0,0,161,161,0,0,0
Faro,2770,2766,0,1504,1475,0,0,2428,2228,0,0,152
