,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Mourão,7886,710,7176,16278,//,1466,14811
Portel,7242,541,6702,14936,11386,1115,13821
Redondo,8144,670,7474,15604,11624,1284,14320
Reguengos de Monsaraz,8953,880,8073,17557,12752,1726,15831
Vendas Novas,9770,997,8772,18587,13800,1898,16689
Viana do Alentejo,8340,765,7575,16753,12516,1537,15217
Vila Viçosa,9323,859,8464,17580,13196,1619,15960
Algarve,9364,1110,8254,17218,11666,2040,15177
Albufeira,9130,979,8151,15233,10476,1633,13600
Alcoutim,8429,708,7721,15726,//,1321,14405
Aljezur,7660,833,6827,15677,10583,1705,13972
Castro Marim,8481,808,7672,16068,11267,1532,14536
Faro,11369,1632,9736,20261,13199,2909,17352
Lagoa,8735,955,7781,16620,11405,1816,14804
Lagos,8797,1068,7730,16869,11283,2047,14822
Loulé,9941,1264,8677,17590,11642,2237,15353
Monchique,6702,582,6119,14727,10866,1279,13448
Olhão,8483,913,7570,16889,11900,1818,15070
Portimão,9552,1106,8447,17109,11735,1980,15128
São Brás de Alportel,9272,1131,8140,18376,12574,2242,16134
Silves,8478,840,7639,15995,11631,1584,14411
Tavira,8833,1009,7823,17071,11332,1951,15120
Vila do Bispo,7922,828,7095,15482,10992,1617,13864
Vila Real de Santo António,8590,860,7730,16088,11494,1610,14478
R. A. Açores,9673,852,8821,19195,12550,1691,17504
Santa Maria,11649,1332,10317,22496,13248,2573,19924
Vila do Porto,11649,1332,10317,22496,13248,2573,19924
São Miguel,9396,855,8541,19323,12324,1758,17564
Lagoa (R.A.A.),8296,685,7610,17512,11215,1447,16065
Nordeste,6953,375,6578,13914,10411,751,13164
Ponta Delgada,11456,1199,10257,22045,14185,2308,19737
Povoação,6639,351,6288,14025,10147,742,13284
Ribeira Grande,7194,484,6710,16618,11389,1119,15499
Vila Franca do Campo,6804,466,6338,15109,10432,1035,14074
Terceira,10290,890,9400,19556,13190,1692,17864
Angra do Heroísmo,10743,994,9749,20074,13146,1857,18217
Vila da Praia da Vitória,9506,711,8795,18615,13243,1392,17223
Graciosa,8791,650,8140,17303,11899,1280,16023
Santa Cruz da Graciosa,8791,650,8140,17303,11899,1280,16023
São Jorge,8477,548,7929,16160,11647,1044,15116
Calheta (R.A.A.),7765,452,7313,15021,11362,874,14147
Velas,8981,616,8365,16945,11910,1162,15783
Pico,9006,646,8360,17233,12111,1236,15997
Lajes do Pico,8415,559,7856,16764,12059,1114,15651
Madalena,9206,656,8551,17549,12560,1250,16299
São Roque do Pico,9409,745,8664,17218,11443,1363,15855
Faial,10811,967,9843,20197,13682,1807,18390
Horta,10811,967,9843,20197,13682,1807,18390
Flores,9527,717,8810,17289,11971,1301,15987
Lajes das Flores,9231,718,8513,17114,//,1332,15782
Santa Cruz das Flores,9731,716,9015,17405,//,1281,16124
Corvo,10894,860,10033,18589,//,1468,17120
Corvo,10894,860,10033,18589,//,1468,17120
R. A. Madeira,9017,902,8115,19021,12558,1903,17118
Calheta (R.A.M.),6222,486,5736,15671,10726,1224,14447
Câmara de Lobos,5998,316,5681,14178,10760,748,13430
Funchal,11142,1371,9772,21598,13671,2657,18942
Machico,7618,504,7114,16304,11865,1078,15226
Ponta do Sol,6190,434,5756,15193,10806,1066,14127
Porto Moniz,6950,503,6447,15293,//,1106,14187
Ribeira Brava,6264,399,5866,15473,11379,985,14488
Santa Cruz,9135,808,8328,19668,13902,1739,17929
Santana,6427,370,6057,14565,10828,837,13727
São Vicente,6169,433,5735,15142,10694,1064,14079
Porto Santo,12838,1428,11410,21587,14503,2401,19185
