,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Viana do Alentejo,102,39,11,4,1,2,1,0,3,10,0
Vila Viçosa,136,27,1,0,4,0,0,1,0,21,0
Algarve,103554,15872,5688,2028,7358,609,1196,23027,1690,1732,111
Albufeira,16405,3118,1261,303,660,90,417,3064,234,423,26
Alcoutim,189,1,1,4,7,0,0,105,1,3,0
Aljezur,1985,141,53,3,38,3,8,544,16,11,0
Castro Marim,987,41,24,2,38,1,0,166,1,6,1
Faro,9495,2220,834,262,901,56,146,882,245,141,8
Lagoa,5407,596,209,118,88,32,46,1839,45,66,3
Lagos,11578,1246,367,101,570,40,11,4157,158,177,8
Loulé,18892,3069,984,632,2454,136,155,4036,301,321,18
Monchique,889,38,5,1,66,0,0,385,0,5,0
Olhão,5079,650,360,138,367,71,90,808,26,71,11
Portimão,11401,2724,769,262,978,121,227,1427,480,202,14
São Brás de Alportel,1520,165,129,14,31,9,0,611,12,27,1
Silves,7087,999,328,83,396,24,76,1856,137,112,8
Tavira,7120,429,163,60,472,15,13,1947,20,56,3
Vila do Bispo,2223,142,47,31,57,0,3,852,0,11,6
Vila Real de Santo António,3297,293,154,14,235,11,4,348,14,100,4
R. A. Açores,4073,802,70,181,38,29,34,283,5,344,15
Santa Maria,139,6,1,2,0,0,0,19,0,2,0
Vila do Porto,139,6,1,2,0,0,0,19,0,2,0
São Miguel,1760,372,29,34,24,15,17,73,2,215,2
Lagoa (R.A.A.),157,30,0,2,1,0,0,8,0,16,0
Nordeste,49,8,0,1,0,0,1,2,0,2,0
Ponta Delgada,1163,259,19,29,20,15,14,32,2,128,2
Povoação,84,17,4,0,0,0,0,9,0,12,0
Ribeira Grande,221,50,6,1,3,0,2,10,0,44,0
Vila Franca do Campo,86,8,0,1,0,0,0,12,0,13,0
Terceira,616,138,13,35,7,7,11,34,1,52,6
Angra do Heroísmo,398,85,5,22,5,6,7,25,0,36,4
Vila da Praia da Vitória,218,53,8,13,2,1,4,9,1,16,2
Graciosa,46,12,0,0,0,0,0,2,0,4,0
Santa Cruz da Graciosa,46,12,0,0,0,0,0,2,0,4,0
São Jorge,114,37,2,1,2,1,0,5,1,9,1
Calheta (R.A.A.),30,9,1,1,1,0,0,2,1,2,0
Velas,84,28,1,0,1,1,0,3,0,7,1
Pico,535,119,11,58,0,0,2,39,1,29,3
Lajes do Pico,173,47,1,3,0,0,0,15,1,2,0
Madalena,227,56,7,30,0,0,2,9,0,19,0
São Roque do Pico,135,16,3,25,0,0,0,15,0,8,3
Faial,674,103,7,39,4,5,2,103,0,25,3
Horta,674,103,7,39,4,5,2,103,0,25,3
Flores,180,13,6,9,1,1,2,8,0,8,0
Lajes das Flores,113,8,3,1,0,0,1,5,0,2,0
Santa Cruz das Flores,67,5,3,8,1,1,1,3,0,6,0
Corvo,9,2,1,3,0,0,0,0,0,0,0
Corvo,9,2,1,3,0,0,0,0,0,0,0
R. A. Madeira,9455,895,259,61,252,33,40,1342,26,237,27
Calheta (R.A.M.),912,25,4,0,1,0,0,259,0,5,0
Câmara de Lobos,408,53,1,1,7,0,1,28,1,5,0
Funchal,4869,525,196,45,176,25,29,629,20,162,25
Machico,335,67,15,4,1,1,0,37,0,17,0
Ponta do Sol,453,6,1,1,3,0,0,90,0,5,0
Porto Moniz,104,3,0,0,1,0,0,4,0,0,0
Ribeira Brava,472,21,4,0,0,2,0,49,0,5,0
Santa Cruz,1287,138,25,9,11,3,5,172,0,27,1
Santana,112,11,4,0,1,0,0,5,0,0,0
São Vicente,160,10,0,1,0,1,0,18,0,6,0
Porto Santo,343,36,9,0,51,1,5,51,5,5,1
