,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Baixo Alentejo,27.9,3,5.7,24.3,2.7,4.9
Aljustrel,27.5,2.9,5.1,23.6,2.6,4.4
Almodôvar,29,3.4,6.5,25.8,3.1,5.6
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,28.1,3.1,6,24.3,2.7,5
Castro Verde,29.8,3.3,6,25.5,2.9,5
Cuba,26.4,2.8,5.1,23.1,2.5,4.4
Ferreira do Alentejo,25.1,2.6,4.8,22.1,2.4,4.2
Mértola,24.5,2.6,4.7,21.9,2.4,4.3
Moura,26.9,2.9,6.2,24.1,2.7,5.6
Ourique,26.9,2.9,5.7,23.8,2.7,4.9
Serpa,26.1,2.7,5.6,23.1,2.5,4.9
Vidigueira,25.2,2.7,5,22.2,2.5,4.4
Lezíria do Tejo,27.2,2.9,5.4,23.8,2.6,4.7
Almeirim,26.7,2.9,5.4,23.8,2.7,4.8
Alpiarça,26.2,2.8,5,23.3,2.6,4.4
Azambuja,25.2,2.8,5.1,22.3,2.6,4.5
Benavente,28,2.9,5.7,24.2,2.6,4.9
Cartaxo,26.1,2.8,5.4,22.8,2.5,4.6
Chamusca,23.7,2.4,4.3,21,2.3,3.8
Coruche,25.3,2.6,4.5,22.4,2.5,4
Golegã,24.7,2.7,4.8,21.7,2.4,4.2
Rio Maior,26.1,2.8,5.1,23,2.6,4.6
Salvaterra de Magos,26.8,2.8,5.2,23.6,2.6,4.6
Santarém,29,3.1,6,25.1,2.8,5.1
Alto Alentejo,26.2,2.8,5.1,23,2.5,4.4
Alter do Chão,26,2.5,4.7,22.4,2.3,4
Arronches,24.3,2.7,4.4,21.5,2.5,3.9
Avis,23.2,2.4,4,20.5,2.3,3.6
Campo Maior,23.8,2.5,4.7,21,2.3,4.1
Castelo de Vide,25.4,2.6,4.7,22.2,2.4,4.1
Crato,23.2,2.4,4.1,20.4,2.3,3.6
Elvas,26.6,2.8,5.6,23.4,2.6,4.8
Fronteira,25.9,2.6,4.9,23,2.4,4.3
Gavião,23.5,2.5,4.1,20.8,2.3,3.7
Marvão,23.8,2.5,4.3,21.2,2.3,4
Monforte,//,//,//,//,//,//
Nisa,25,2.7,4.9,22.2,2.5,4.3
Ponte de Sor,26.9,2.7,5.6,23.8,2.5,5.1
Portalegre,27.1,2.9,5.4,23.5,2.6,4.5
Sousel,24.6,2.5,4.2,21.8,2.4,3.9
Alentejo Central,26.4,2.7,5.1,22.9,2.4,4.4
Alandroal,21.1,2.2,3.7,18.8,2.1,3.4
Arraiolos,23,2.5,4.1,20.3,2.3,3.7
Borba,22.9,2.3,4,20.2,2.1,3.6
Estremoz,24.8,2.5,4.6,21.5,2.3,4
Évora,27.5,2.9,5.7,23.5,2.5,4.7
Montemor-o-Novo,25.8,2.5,4.6,22.2,2.3,4
Mora,24.2,2.4,4,21,2.3,3.6
