,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Sertã,30.8,5.7,976.1,14.2,7.3,0.4,5.8,14.3,4.4,18,21.3
Tomar,27,16.1,1093.3,17.8,14.5,0.2,10,24.7,5.3,17.3,25.5
Torres Novas,18.3,24.6,1145.3,17.1,10.3,-1.2,6.5,15.1,3.1,23.8,33.4
Vila de Rei,28.7,1.7,905.7,15.4,6.3,-1.6,1.8,11.2,3,23.6,25.6
Vila Nova da Barquinha,26.9,0.4,968.6,12.2,9.1,1.9,9.8,8.5,8.3,17.1,27.1
Beiras e Serra da Estrela,26.1,21.8,1051.2,20.6,7,-0.2,8.4,17.4,2.5,20.1,26.1
Almeida,27.9,3.7,968.2,10.7,7.3,-1.8,8.5,11.8,4.3,9.2,24.8
Belmonte,24.6,1.5,919.4,15.4,4,-1.5,8.6,11.1,1.8,21.5,24.9
Celorico da Beira,25.1,6.1,1099.6,10.9,5.9,3.3,21.8,20.9,14.4,12.1,27.9
Covilhã,21.1,26.2,1054.3,23.7,6.9,-0.6,6.4,16.9,4.9,24.1,31
Figueira de Castelo Rodrigo,44.6,4.1,894.3,17,4.8,-0.5,0.8,15.3,3.8,18.1,18.9
Fornos de Algodres,44.3,5,873.6,11.9,7,1.3,3.7,8.7,5.5,12.8,16
Fundão,22.6,27.3,1055.1,23.1,8.2,0.9,7.7,14.5,3.8,19.1,26.1
Gouveia,31.1,5.4,951.6,18,6.4,1.6,5.2,11.3,5.3,18.3,22.3
Guarda,23.1,31.9,1176.3,24.4,7.6,0,10.1,21.8,6,19.4,27.9
Manteigas,31.8,7.6,966.5,20.6,17.7,1.9,3.9,11.2,2.5,19,23.1
Mêda,43.4,1.9,919.2,16.7,5.9,-2,6.1,18.9,0.2,18.2,18.9
Pinhel,45.5,4.3,920.8,14.3,7.3,-2.4,5.4,19.3,3.7,19.6,24.3
Sabugal,31.4,6.5,968.4,17.2,5.7,0.8,5.5,24.5,5.5,21.3,24.8
Seia,27.6,23.5,968,15,5.9,-1.4,4.2,9.5,2.9,17.3,22.4
Trancoso,32.2,17,1015.7,16.9,5.3,-1.2,5.8,20.3,7.1,18.8,26.2
A. M. Lisboa,15.5,43.1,1562.7,35.2,11.8,0,8.9,15.2,3.1,34.1,42.8
Alcochete,16.1,29,2006.6,16.7,12.9,-0.1,36.3,78.8,25.4,22.5,96.3
Almada,24.7,30.2,1219.6,25.8,9.3,-1.9,4.1,19.8,3.3,35.6,36.8
Amadora,13.8,53.9,1567.3,36.4,8.6,-3.3,9.4,18.9,2.9,42.1,45.9
Barreiro,20.6,40.4,1192.2,20.7,14.1,1.5,10,20.3,10.1,27.4,33.4
Cascais,23.7,31.7,1293.6,25.9,10,-1.2,2.1,13.2,0.9,31.9,37.4
Lisboa,12.2,50.6,1752,47.6,12.8,-0.1,10.2,10.2,2.1,31.2,43.1
Loures,15.3,37.9,1285.4,19.5,10.2,3.2,8.6,12.2,8.6,28.5,35.6
Mafra,20.5,34.6,1111.7,11.6,10.9,1,5.9,8.6,2.9,16.1,25.3
Moita,28.1,25.9,1051.7,13.1,9.8,-0.7,5.8,9.2,2.4,19.2,25.3
Montijo,19.8,27.9,1121.3,15,15.6,0.8,9.3,9.9,9.2,24.8,34.1
Odivelas,30.3,21.9,1045.5,15.4,13,-1.7,3,8.7,0.6,15.3,20.1
Oeiras,9.3,50.5,1901.3,46.2,10.5,-0.2,11.5,15.9,0.7,32.2,45
Palmela,11.2,52.7,1369.2,14.4,9.8,-0.6,7.4,15,13.2,26.6,29.8
Seixal,26.5,23.5,1408.7,14.8,11.5,-1,23.7,69.6,7.3,21.8,60
Sesimbra,33.9,10.5,1061.5,10.5,10.7,0.5,8.9,14.5,10.4,14.4,22.7
Setúbal,20,33.1,1290.7,18.9,12.7,0.8,14.2,21.3,18.1,26.1,31.3
Sintra,22.8,24.4,1294,19.8,11.2,2,7.1,17.6,2,30.9,35.5
Vila Franca de Xira,15.6,35.2,1315.6,19.1,15.9,0,7.3,14.2,10.5,27.7,33.6
Alentejo,23.9,25.7,1154,16.2,11.2,-0.6,8.9,16,10.1,23.7,27.9
Alentejo Litoral,19.6,30.3,1232.3,13.4,14.8,-1.7,10.4,27,19.2,29.2,32.6
Alcácer do Sal,34.9,5.6,1082.9,13.2,13.3,2.1,7.2,15.9,6,22.8,29.8
Grândola,31.3,15.4,1143.8,14.3,13.8,4,11.8,26.3,4.4,30.7,45.4
Odemira,16.4,32.8,974.7,9,21.4,-5.7,1.8,5.1,3.5,23.1,22.1
Santiago do Cacém,24,27.7,1104.2,17.4,11.8,0.8,6.6,16.6,3.5,23.9,28
Sines,11.3,42.7,1849.6,17,8.2,-0.3,17.9,33.1,27.9,30.8,36.9
Baixo Alentejo,29.7,23.3,1237.8,16.7,10.5,-0.5,11.8,32,22.5,23.9,30
Aljustrel,24.7,41.1,1278.8,15,7.4,0.5,14.4,20.1,17.6,24.1,30.1
Almodôvar,38.5,16.6,978.5,12.3,6.4,-1.6,5.6,16.5,6.9,14.4,18.3
Alvito,28.2,3.6,1039.8,9.7,13.6,2.9,10.4,8.9,7.1,11.2,22.4
Barrancos,34.7,1.8,933.6,10.6,4.9,-0.5,0.1,20,9.3,19,14.3
Beja,27.7,23.3,1182.2,21.8,11.4,-0.2,3.7,16.5,9.1,25.2,31.5
Castro Verde,12.9,59.5,2038.8,15.6,9.6,5.1,19.8,42,36.6,27,36.8
Cuba,43.1,4.2,1083.3,17.6,13.5,1.5,5.6,10.3,5.1,26.7,35.1
Ferreira do Alentejo,39.9,5.2,1092.3,14.1,19.8,-1.3,5.1,11.8,2.8,23.5,26
Mértola,46,3.2,919.2,10.9,5.9,-2.3,1.8,16.6,6.5,14.3,17
Moura,39.8,8.7,988.5,13.8,7.5,-2.5,3,19.2,6.6,20.3,20.4
Ourique,37.8,10.2,971.2,9.7,6,-4.2,1.8,16.9,6.9,22.1,20.3
Serpa,35.7,4,968.4,11.6,12.4,-6.3,3.5,13.8,2.7,14.8,16.4
Vidigueira,31.2,10.1,1063.6,16.7,12,-0.8,11.5,7.6,1.3,30.4,29.9
Lezíria do Tejo,20.9,27.7,1120.1,16.2,11.5,-1,6.6,8.4,5.2,23.2,27.8
Almeirim,28.5,17.3,1037.7,15.5,15.4,-0.5,5.3,12.5,6.2,20.5,24.9
Alpiarça,24,24.3,1015.7,14.2,10.3,0.3,9.8,8.6,10.7,19.8,23.3
Azambuja,6.6,57.5,1128.5,13.4,13.2,2.2,1.5,15.8,1.6,29.7,38.6
Benavente,21,24.5,1189.2,14,11.2,1.8,9.7,14.8,8.4,25.4,28.7
Cartaxo,31.1,8.5,1100.4,16.6,7.5,-1.5,9.6,12.9,12,23.9,28.5
