,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Seixal,9354,3682,5672,656451,260498,395953,13573,6127,7446
Sesimbra,3361,1362,1999,267982,105697,162285,5771,2818,2953
Setúbal,8258,3227,5031,793427,281929,511498,18242,8273,9969
Sintra,21777,8701,13076,1156391,483845,672546,22693,10593,12100
Vila Franca de Xira,8703,3576,5127,508656,199191,309465,10387,4762,5625
Alentejo,44409,18076,26333,2964608,1114344,1850264,55480,24070,31410
Alentejo Litoral,5230,2219,3011,350595,134303,216292,7048,3348,3700
Alcácer do Sal,617,246,371,52664,16191,36473,935,288,647
Grândola,797,289,508,62436,20419,42017,1068,387,681
Odemira,1378,675,703,66044,32532,33512,1093,571,523
Santiago do Cacém,1591,655,936,109907,41086,68821,2576,1333,1242
Sines,847,354,493,59544,24075,35469,1376,769,607
Baixo Alentejo,6067,2476,3591,309451,122700,186751,5698,2656,3042
Aljustrel,558,246,312,39520,14423,25097,816,422,394
Almodôvar,305,146,159,17348,8643,8705,382,244,137
Alvito,128,39,89,5094,1517,3577,83,24,59
Barrancos,57,25,32,1931,653,1278,30,11,19
Beja,2031,782,1249,82587,29794,52793,1523,583,940
Castro Verde,391,184,207,21236,10211,11025,548,350,198
Cuba,238,111,127,12628,4685,7943,211,91,120
Ferreira do Alentejo,433,186,247,23663,10962,12701,413,231,182
Mértola,231,106,125,15536,7043,8493,266,112,155
Moura,490,186,304,23469,10317,13152,374,177,198
Ourique,263,92,171,16459,5055,11404,271,86,185
Serpa,682,262,420,34383,12895,21488,548,222,326
Vidigueira,260,111,149,15597,6502,9095,233,103,130
Lezíria do Tejo,17299,7233,10066,1259650,487153,772497,23739,10650,13089
Almeirim,1470,580,890,104343,40968,63375,1737,755,982
Alpiarça,440,163,277,26954,8452,18502,456,175,281
Azambuja,1358,560,798,85637,34973,50664,1660,809,851
Benavente,2276,910,1366,162853,62346,100507,3478,1515,1963
Cartaxo,1780,747,1033,128092,50986,77106,2558,1256,1302
Chamusca,590,250,340,52200,19065,33135,853,357,496
Coruche,1206,485,721,97011,35383,61628,1708,707,1002
Golegã,428,199,229,34167,13959,20208,575,270,305
Rio Maior,1954,911,1043,136604,52150,84454,2499,1078,1421
Salvaterra de Magos,1689,700,989,156326,58687,97639,2811,1224,1588
Santarém,4108,1728,2380,275463,110184,165279,5402,2505,2897
Alto Alentejo,6632,2559,4073,431883,154023,277860,7561,2937,4624
Alter do Chão,167,59,108,12181,4100,8081,199,64,135
Arronches,177,69,108,11165,3769,7396,193,65,128
Avis,194,84,110,17420,7866,9554,309,160,149
Campo Maior,879,381,498,40754,15232,25522,826,334,492
Castelo de Vide,173,54,119,9571,1827,7744,159,32,127
Crato,197,69,128,15322,3893,11429,249,68,181
Elvas,1451,594,857,84489,34588,49901,1424,652,772
Fronteira,132,54,78,9213,3182,6031,164,59,105
Gavião,214,86,128,14145,5391,8754,249,113,135
Marvão,170,57,113,12500,3261,9239,201,51,150
Monforte,128,43,85,8762,2347,6415,153,39,113
Nisa,305,97,208,23133,7207,15926,402,140,262
Ponte de Sor,794,289,505,65889,24017,41872,1124,450,674
Portalegre,1424,538,886,87225,29893,57332,1562,565,996
Sousel,227,85,142,20114,7450,12664,348,145,203
Alentejo Central,9181,3589,5592,613029,216165,396864,11434,4479,6955
Alandroal,311,122,189,25426,8647,16779,434,157,277
Arraiolos,390,163,227,25558,9273,16285,459,187,273
Borba,361,136,225,29710,10424,19286,514,197,317
Estremoz,625,218,407,44294,15482,28812,759,311,448
Évora,3383,1344,2039,193705,72460,121245,3908,1572,2336
Montemor-o-Novo,920,335,585,60367,20598,39769,1064,397,668
Mora,236,107,129,18287,7905,10382,318,160,158
Mourão,109,37,72,6967,2525,4442,122,50,72
Portel,354,137,217,23103,7726,15377,385,151,234
Redondo,355,160,195,19536,7918,11618,337,137,200
Reguengos de Monsaraz,566,252,314,35795,14102,21693,593,257,336
Vendas Novas,773,279,494,78263,22242,56021,1632,556,1076
Viana do Alentejo,343,128,215,20556,6999,13557,382,142,240
Vila Viçosa,455,171,284,31462,9864,21598,527,205,321
Algarve,23636,10019,13617,1587393,656476,930917,30022,13584,16437
Albufeira,2146,920,1226,172761,70879,101882,3560,1614,1946
Alcoutim,115,41,74,7203,1185,6018,119,26,94
Aljezur,242,107,135,14856,6583,8273,249,116,133
Castro Marim,301,130,171,22454,8046,14408,407,162,245
Faro,3767,1530,2237,238781,96430,142351,4656,2094,2562
Lagoa,1142,525,617,68858,30308,38550,1335,629,706
Lagos,1533,654,879,102553,44195,58358,1816,863,953
Loulé,3460,1491,1969,264412,110238,154174,5149,2332,2817
Monchique,249,113,136,19067,9186,9881,342,171,171
Olhão,2537,1045,1492,147351,54617,92734,2758,1169,1589
Portimão,3116,1311,1805,180730,77117,103613,3343,1511,1832
São Brás de Alportel,548,234,314,41056,20792,20264,799,445,353
Silves,1885,819,1066,143296,60049,83247,2574,1170,1404
Tavira,1374,591,783,82483,32630,49853,1527,651,876
Vila do Bispo,229,97,132,14386,7024,7362,218,106,112
Vila Real de Santo António,992,411,581,67146,27197,39949,1170,526,644
R. A. Açores,15246,6551,8695,1190002,477860,712142,22577,10134,12444
Santa Maria,325,131,194,23190,6969,16221,453,146,307
Vila do Porto,325,131,194,23190,6969,16221,453,146,307
São Miguel,7892,3461,4431,682995,288638,394357,13372,6351,7021
Lagoa (R.A.A.),796,334,462,74081,27561,46520,1315,591,724
Nordeste,233,121,112,16722,9407,7315,230,132,98
Ponta Delgada,4184,1753,2431,364739,148215,216524,7734,3542,4192
Povoação,329,142,187,35253,14478,20775,663,316,347
Ribeira Grande,1890,861,1029,158102,71118,86984,2865,1463,1402
Vila Franca do Campo,460,250,210,34098,17859,16239,565,307,258
Terceira,3500,1431,2069,221776,77981,143795,4281,1748,2534
Angra do Heroísmo,2192,912,1280,130845,47307,83538,2545,1062,1483
Vila da Praia da Vitória,1308,519,789,90931,30674,60257,1736,686,1050
Graciosa,359,168,191,33205,12054,21151,505,208,297
Santa Cruz da Graciosa,359,168,191,33205,12054,21151,505,208,297
São Jorge,704,281,423,44336,17396,26940,703,274,429
Calheta (R.A.A.),257,83,174,15700,5810,9890,219,73,146
Velas,447,198,249,28636,11586,17050,484,201,283
Pico,1061,500,561,78574,34920,43654,1383,645,738
Lajes do Pico,347,175,172,27396,13504,13892,470,247,223
Madalena,461,216,245,31549,12853,18696,606,248,359
São Roque do Pico,253,109,144,19629,8563,11066,307,150,156
Faial,1036,422,614,77780,28491,49289,1380,559,821
Horta,1036,422,614,77780,28491,49289,1380,559,821
Flores,313,129,184,24930,10153,14777,438,175,263
Lajes das Flores,100,39,61,7181,2631,4550,128,44,84
Santa Cruz das Flores,213,90,123,17749,7522,10227,310,131,179
Corvo,56,28,28,3216,1258,1958,63,27,35
Corvo,56,28,28,3216,1258,1958,63,27,35
R. A. Madeira,12037,5649,6388,1052527,485109,567418,21476,11744,9732
Calheta (R.A.M.),395,182,213,39661,17022,22639,755,407,348
Câmara de Lobos,1637,822,815,120616,60042,60574,2146,1218,927
Funchal,4507,1961,2546,346034,149250,196784,7242,3335,3907
Machico,1581,952,629,201398,121780,79618,5220,4030,1190
Ponta do Sol,315,159,156,26785,13333,13452,470,250,220
Porto Moniz,111,46,65,11179,4080,7099,161,63,98
Ribeira Brava,578,287,291,51565,24997,26568,858,492,366
Santa Cruz,2168,936,1232,178106,71359,106747,3407,1509,1898
Santana,298,125,173,32302,10022,22280,470,181,290
São Vicente,213,80,133,28402,8047,20355,372,118,254
Porto Santo,234,99,135,16479,5177,11302,375,142,233
