,Total (€),"Main occupation, Managers (€)","Main occupation, Professionals (€)","Main occupation, Technicians and associate professionals (€)","Main occupation, Clerical support workers (€)","Main occupation, Service and sale workers (€)","Main occupation, Skilled agricultural, forestry, and fishery workers (€)","Main occupation, Craft and related trades workers (€)","Main occupation, Plant and machine operators, and assemblers (€)","Main occupation, Elementary occupations (€)"
Alcobaça,1074.19,2103.08,1438.95,1316.53,1049.72,875.1,857.5,1008.25,1062.83,850.29
Alenquer,1239.69,2864.23,2031.12,1701.48,1148.6,976.37,1012.68,1087.49,1046.64,930.78
Arruda dos Vinhos,1141.41,1807.16,1811.41,1217.48,1046.07,903.93,788.63,1018.82,1148.96,797.54
Bombarral,997.89,1495.41,1473.43,1267.01,1105.38,897.57,882,925.58,910.56,827.58
Cadaval,1043.26,1929.84,1567.94,1323.91,979.46,825.29,923.4,940.16,1103.34,850.09
Caldas da Rainha,1106.45,1854.7,1595.15,1280.24,1028.83,885.12,834.47,1009.25,1326.11,829.93
Lourinhã,1077.03,1721.37,1364.92,1099.78,998.9,854.59,1435.33,960.17,1381.91,834.06
Nazaré,1081.21,1803.88,1478.49,1258.02,997.76,864.03,1151.62,928.15,1502.32,880.55
Óbidos,1062.9,1811.76,1435.22,1240.14,1018.21,906.26,900.2,916.03,937.23,839.51
Peniche,1050.14,1882.36,1526.59,1260.64,1071.49,860.57,1383.88,879.41,1032.44,872.92
Sobral de Monte Agraço,1058.97,1850.49,1460.57,1219.29,1019.22,836.78,794.9,1012.28,1178.13,807.8
Torres Vedras,1108.61,2116.73,1595.29,1449.1,1074.95,917.31,815.11,986.57,1073.48,852.18
Região de Aveiro,1209.91,2498.98,1790.71,1465.09,1101.9,934.92,940.08,1067.04,1104.57,892.12
Águeda,1127.48,2533.67,1524.88,1339.95,1072.82,964.76,1035.22,1078.05,970.86,873.13
Albergaria-a-Velha,1194.12,2523.59,1628.65,1446.08,1033.3,909.99,888.49,1134.09,1116.82,907.75
Anadia,1092.67,1925.85,1559.23,1392.49,1029.94,864.59,955.86,1009.56,1035.96,873.21
